age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_ishd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0,1e-8,0,0,6980,Ishd,0,10,0,0,0,5,male_Ishd
1,male,0,1e-8,0,0,6980,Ishd,0,10,0,0,0,5,male_Ishd
2,male,0,1e-8,0,0,6980,Ishd,0,10,0,0,0,5,male_Ishd
3,male,0,1e-8,0,0,6980,Ishd,0,10,0,0,0,5,male_Ishd
4,male,0,1e-8,0,0,6980,Ishd,0,10,0,0,0,5,male_Ishd
5,male,0,1e-8,0,0,6917,Ishd,0,10,5,0,0,5,male_Ishd
6,male,0,1e-8,0,0,6917,Ishd,0,10,5,0,0,5,male_Ishd
7,male,0,1e-8,0,0,6917,Ishd,0,10,5,0,0,5,male_Ishd
8,male,0,1e-8,0,0,6917,Ishd,0,10,5,0,0,5,male_Ishd
9,male,0,1e-8,0,0,6917,Ishd,0,10,5,0,0,5,male_Ishd
10,male,0,1e-8,0,0,6234,Ishd,0,50,10,0,0,5,male_Ishd
11,male,0,1e-8,0,0,6234,Ishd,0,50,10,0,0,5,male_Ishd
12,male,0,1e-8,0,0,6234,Ishd,0,50,10,0,0,5,male_Ishd
13,male,0,1e-8,0,0,6234,Ishd,0,50,10,0,0,5,male_Ishd
14,male,0,1e-8,0,0,6234,Ishd,0,50,10,0,0,5,male_Ishd
15,male,6.251993801515578e-7,2.025813640900239e-5,1.2126359378822693e-4,4.966186258223886e-6,6436,Ishd,0,50,15,0,0,5,male_Ishd
16,male,6.251993801515578e-7,2.025813640900239e-5,1.2126359378822693e-4,4.966186258223886e-6,6436,Ishd,0,50,15,0,0,5,male_Ishd
17,male,6.251993801515578e-7,2.025813640900239e-5,1.2126359378822693e-4,4.966186258223886e-6,6436,Ishd,0,50,15,0,0,5,male_Ishd
18,male,6.251993801515578e-7,2.025813640900239e-5,1.2126359378822693e-4,4.966186258223886e-6,6436,Ishd,0,50,15,0,0,5,male_Ishd
19,male,6.251993801515578e-7,2.025813640900239e-5,1.2126359378822693e-4,4.966186258223886e-6,6436,Ishd,0,50,15,0,0,5,male_Ishd
20,male,2.5094732153786074e-6,6.07127660637019e-5,4.199771734614423e-4,2.068347875806378e-5,7845,Ishd,0,50,20,0,0,5,male_Ishd
21,male,2.5094732153786074e-6,6.07127660637019e-5,4.199771734614423e-4,2.068347875806378e-5,7845,Ishd,0,50,20,0,0,5,male_Ishd
22,male,2.5094732153786074e-6,6.07127660637019e-5,4.199771734614423e-4,2.068347875806378e-5,7845,Ishd,0,50,20,0,0,5,male_Ishd
23,male,2.5094732153786074e-6,6.07127660637019e-5,4.199771734614423e-4,2.068347875806378e-5,7845,Ishd,0,50,20,0,0,5,male_Ishd
24,male,2.5094732153786074e-6,6.07127660637019e-5,4.199771734614423e-4,2.068347875806378e-5,7845,Ishd,0,50,20,0,0,5,male_Ishd
25,male,8.5915246840618e-6,1.0085241245198212e-4,9.55286039931722e-4,4.197755572905259e-5,9023,Ishd,0,50,25,0,0,5,male_Ishd
26,male,8.5915246840618e-6,1.0085241245198212e-4,9.55286039931722e-4,4.197755572905259e-5,9023,Ishd,0,50,25,0,0,5,male_Ishd
27,male,8.5915246840618e-6,1.0085241245198212e-4,9.55286039931722e-4,4.197755572905259e-5,9023,Ishd,0,50,25,0,0,5,male_Ishd
28,male,8.5915246840618e-6,1.0085241245198212e-4,9.55286039931722e-4,4.197755572905259e-5,9023,Ishd,0,50,25,0,0,5,male_Ishd
29,male,8.5915246840618e-6,1.0085241245198212e-4,9.55286039931722e-4,4.197755572905259e-5,9023,Ishd,0,50,25,0,0,5,male_Ishd
30,male,2.2687719167696977e-5,2.80847637345721e-4,0.0020636704027499307,7.986396603160842e-5,8448,Ishd,0,50,30,0,0,5,male_Ishd
31,male,2.2687719167696977e-5,2.80847637345721e-4,0.0020636704027499307,7.986396603160842e-5,8448,Ishd,0,50,30,0,0,5,male_Ishd
32,male,2.2687719167696977e-5,2.80847637345721e-4,0.0020636704027499307,7.986396603160842e-5,8448,Ishd,0,50,30,0,0,5,male_Ishd
33,male,2.2687719167696977e-5,2.80847637345721e-4,0.0020636704027499307,7.986396603160842e-5,8448,Ishd,0,50,30,0,0,5,male_Ishd
34,male,2.2687719167696977e-5,2.80847637345721e-4,0.0020636704027499307,7.986396603160842e-5,8448,Ishd,0,50,30,0,0,5,male_Ishd
35,male,5.881966740862388e-5,6.007226064496246e-4,0.0045555128280173485,1.5219107428021615e-4,7997,Ishd,0,50,35,0,0,5,male_Ishd
36,male,5.881966740862388e-5,6.007226064496246e-4,0.0045555128280173485,1.5219107428021615e-4,7997,Ishd,0,50,35,0,0,5,male_Ishd
37,male,5.881966740862388e-5,6.007226064496246e-4,0.0045555128280173485,1.5219107428021615e-4,7997,Ishd,0,50,35,0,0,5,male_Ishd
38,male,5.881966740862388e-5,6.007226064496246e-4,0.0045555128280173485,1.5219107428021615e-4,7997,Ishd,0,50,35,0,0,5,male_Ishd
39,male,5.881966740862388e-5,6.007226064496246e-4,0.0045555128280173485,1.5219107428021615e-4,7997,Ishd,0,50,35,0,0,5,male_Ishd
40,male,1.5748157969747888e-4,0.0012474619887464025,0.009456533258945963,2.932477071146347e-4,7179,Ishd,0,50,40,0,1,5,male_Ishd
41,male,1.5748157969747888e-4,0.0012474619887464025,0.009456533258945963,2.932477071146347e-4,7179,Ishd,0,50,40,0,1,5,male_Ishd
42,male,1.5748157969747888e-4,0.0012474619887464025,0.009456533258945963,2.932477071146347e-4,7179,Ishd,0,50,40,0,1,5,male_Ishd
43,male,1.5748157969747888e-4,0.0012474619887464025,0.009456533258945963,2.932477071146347e-4,7179,Ishd,0,50,40,0,1,5,male_Ishd
44,male,1.5748157969747888e-4,0.0012474619887464025,0.009456533258945963,2.932477071146347e-4,7179,Ishd,0,50,40,0,1,5,male_Ishd
45,male,3.021342729832834e-4,0.0022225674709863328,0.017767363960073345,5.056088354666864e-4,7628,Ishd,0,50,45,1,2,5,male_Ishd
