age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_lvrc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
46,male,2.205797973882758e-5,4.2351403905695546e-5,0,1.2795057108726553e-5,7628,Lvrc,0,50,45,0,0,5,male_Lvrc
47,male,2.205797973882758e-5,4.2351403905695546e-5,0,1.2795057108726553e-5,7628,Lvrc,0,50,45,0,0,5,male_Lvrc
48,male,2.205797973882758e-5,4.2351403905695546e-5,0,1.2795057108726553e-5,7628,Lvrc,0,50,45,0,0,5,male_Lvrc
49,male,2.205797973882758e-5,4.2351403905695546e-5,0,1.2795057108726553e-5,7628,Lvrc,0,50,45,0,0,5,male_Lvrc
50,male,4.373774699367089e-5,7.760250434685307e-5,0,2.297986748208329e-5,7605,Lvrc,0,50,50,0,0,5,male_Lvrc
51,male,4.373774699367089e-5,7.760250434685307e-5,0,2.297986748208329e-5,7605,Lvrc,0,50,50,0,0,5,male_Lvrc
52,male,4.373774699367089e-5,7.760250434685307e-5,0,2.297986748208329e-5,7605,Lvrc,0,50,50,0,0,5,male_Lvrc
53,male,4.373774699367089e-5,7.760250434685307e-5,0,2.297986748208329e-5,7605,Lvrc,0,50,50,0,0,5,male_Lvrc
54,male,4.373774699367089e-5,7.760250434685307e-5,0,2.297986748208329e-5,7605,Lvrc,0,50,50,0,0,5,male_Lvrc
55,male,7.936068254650807e-5,1.245260210243583e-4,1.793388437364164e-5,3.556144525161426e-5,6479,Lvrc,0,50,55,0,1,5,male_Lvrc
56,male,7.936068254650807e-5,1.245260210243583e-4,1.793388437364164e-5,3.556144525161426e-5,6479,Lvrc,0,50,55,0,1,5,male_Lvrc
57,male,7.936068254650807e-5,1.245260210243583e-4,1.793388437364164e-5,3.556144525161426e-5,6479,Lvrc,0,50,55,0,1,5,male_Lvrc
58,male,7.936068254650807e-5,1.245260210243583e-4,1.793388437364164e-5,3.556144525161426e-5,6479,Lvrc,0,50,55,0,1,5,male_Lvrc
59,male,7.936068254650807e-5,1.245260210243583e-4,1.793388437364164e-5,3.556144525161426e-5,6479,Lvrc,0,50,55,0,1,5,male_Lvrc
60,male,1.4334794733830141e-4,1.9532712366299862e-4,1.4181675894735563e-4,5.211639697905993e-5,5560,Lvrc,0,50,60,0,1,5,male_Lvrc
61,male,1.4334794733830141e-4,1.9532712366299862e-4,1.4181675894735563e-4,5.211639697905993e-5,5560,Lvrc,0,50,60,0,1,5,male_Lvrc
62,male,1.4334794733830141e-4,1.9532712366299862e-4,1.4181675894735563e-4,5.211639697905993e-5,5560,Lvrc,0,50,60,0,1,5,male_Lvrc
63,male,1.4334794733830141e-4,1.9532712366299862e-4,1.4181675894735563e-4,5.211639697905993e-5,5560,Lvrc,0,50,60,0,1,5,male_Lvrc
64,male,1.4334794733830141e-4,1.9532712366299862e-4,1.4181675894735563e-4,5.211639697905993e-5,5560,Lvrc,0,50,60,0,1,5,male_Lvrc
65,male,2.083422451478841e-4,2.8611196524359255e-4,3.4122899216079656e-4,7.76544651448124e-5,5418,Lvrc,0,50,65,0,1,5,male_Lvrc
66,male,2.083422451478841e-4,2.8611196524359255e-4,3.4122899216079656e-4,7.76544651448124e-5,5418,Lvrc,0,50,65,0,1,5,male_Lvrc
67,male,2.083422451478841e-4,2.8611196524359255e-4,3.4122899216079656e-4,7.76544651448124e-5,5418,Lvrc,0,50,65,0,1,5,male_Lvrc
68,male,2.083422451478841e-4,2.8611196524359255e-4,3.4122899216079656e-4,7.76544651448124e-5,5418,Lvrc,0,50,65,0,1,5,male_Lvrc
69,male,2.083422451478841e-4,2.8611196524359255e-4,3.4122899216079656e-4,7.76544651448124e-5,5418,Lvrc,0,50,65,0,1,5,male_Lvrc
70,male,2.897842203253651e-4,3.783506017798658e-4,4.165269257073901e-4,9.995968749351819e-5,4800,Lvrc,0,50,70,0,1,5,male_Lvrc
