age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_strk,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
68,male,5.077540104578741e-4,0.003448197496623339,0.035787202754928714,0.004478204855798116,5418,Strk,0,50,65,2,3,5,male_Strk
69,male,5.077540104578741e-4,0.003448197496623339,0.035787202754928714,0.004478204855798116,5418,Strk,0,50,65,2,3,5,male_Strk
70,male,9.896643321656645e-4,0.004268769694053608,0.04649513848780054,0.006648091139993495,4800,Strk,0,50,70,2,5,5,male_Strk
71,male,9.896643321656645e-4,0.004268769694053608,0.04649513848780054,0.006648091139993495,4800,Strk,0,50,70,2,5,5,male_Strk
72,male,9.896643321656645e-4,0.004268769694053608,0.04649513848780054,0.006648091139993495,4800,Strk,0,50,70,2,5,5,male_Strk
73,male,9.896643321656645e-4,0.004268769694053608,0.04649513848780054,0.006648091139993495,4800,Strk,0,50,70,2,5,5,male_Strk
74,male,9.896643321656645e-4,0.004268769694053608,0.04649513848780054,0.006648091139993495,4800,Strk,0,50,70,2,5,5,male_Strk
75,male,0.0021214074874578307,0.005335297045012093,0.05918510208374615,0.00945212095495008,3332,Strk,0,50,75,3,7,5,male_Strk
76,male,0.0021214074874578307,0.005335297045012093,0.05918510208374615,0.00945212095495008,3332,Strk,0,50,75,3,7,5,male_Strk
77,male,0.0021214074874578307,0.005335297045012093,0.05918510208374615,0.00945212095495008,3332,Strk,0,50,75,3,7,5,male_Strk
78,male,0.0021214074874578307,0.005335297045012093,0.05918510208374615,0.00945212095495008,3332,Strk,0,50,75,3,7,5,male_Strk
79,male,0.0021214074874578307,0.005335297045012093,0.05918510208374615,0.00945212095495008,3332,Strk,0,50,75,3,7,5,male_Strk
80,male,0.004695107815924221,0.008160615553581592,0.07377949962128369,0.01308292172517312,2291,Strk,0,20,80,1,11,5,male_Strk
81,male,0.004695107815924221,0.008160615553581592,0.07377949962128369,0.01308292172517312,2291,Strk,0,20,80,1,11,5,male_Strk
82,male,0.004695107815924221,0.008160615553581592,0.07377949962128369,0.01308292172517312,2291,Strk,0,20,80,1,11,5,male_Strk
83,male,0.004695107815924221,0.008160615553581592,0.07377949962128369,0.01308292172517312,2291,Strk,0,20,80,1,11,5,male_Strk
84,male,0.004695107815924221,0.008160615553581592,0.07377949962128369,0.01308292172517312,2291,Strk,0,20,80,1,11,5,male_Strk
85,male,0.010841017031476432,0.012743951447396215,0.08943689456190476,0.016859219865388915,1276,Strk,0,20,85,2,14,5,male_Strk
86,male,0.010841017031476432,0.012743951447396215,0.08943689456190476,0.016859219865388915,1276,Strk,0,20,85,2,14,5,male_Strk
87,male,0.010841017031476432,0.012743951447396215,0.08943689456190476,0.016859219865388915,1276,Strk,0,20,85,2,14,5,male_Strk
88,male,0.010841017031476432,0.012743951447396215,0.08943689456190476,0.016859219865388915,1276,Strk,0,20,85,2,14,5,male_Strk
89,male,0.010841017031476432,0.012743951447396215,0.08943689456190476,0.016859219865388915,1276,Strk,0,20,85,2,14,5,male_Strk
90,male,0.018048360970824785,0.017337976358868863,0.10167954116747012,0.020107389107244727,506,Strk,0,10,90,1,9,5,male_Strk
91,male,0.018048360970824785,0.017337976358868863,0.10167954116747012,0.020107389107244727,506,Strk,0,10,90,1,9,5,male_Strk
92,male,0.018048360970824785,0.017337976358868863,0.10167954116747012,0.020107389107244727,506,Strk,0,10,90,1,9,5,male_Strk
93,male,0.018048360970824785,0.017337976358868863,0.10167954116747012,0.020107389107244727,506,Strk,0,10,90,1,9,5,male_Strk
94,male,0.018048360970824785,0.017337976358868863,0.10167954116747012,0.020107389107244727,506,Strk,0,10,90,1,9,5,male_Strk
95,male,0.0318820211592794,0.021950907455789474,0.10906394444611563,0.02291577582115611,91,Strk,0,10,95,1,3,6,male_Strk
96,male,0.0318820211592794,0.021950907455789474,0.10906394444611563,0.02291577582115611,91,Strk,0,10,95,1,3,6,male_Strk
97,male,0.0318820211592794,0.021950907455789474,0.10906394444611563,0.02291577582115611,91,Strk,0,10,95,1,3,6,male_Strk
98,male,0.0318820211592794,0.021950907455789474,0.10906394444611563,0.02291577582115611,91,Strk,0,10,95,1,3,6,male_Strk
99,male,0.0318820211592794,0.021950907455789474,0.10906394444611563,0.02291577582115611,91,Strk,0,10,95,1,3,6,male_Strk
100,male,0.0318820211592794,0.021950907455789474,0.10906394444611563,0.02291577582115611,91,Strk,0,10,95,1,3,6,male_Strk
