age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_ishd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
47,female,7.386784610657731e-5,6.44337225075159e-4,0.009838336272552086,3.8554237911593906e-4,7531,Ishd,0,50,45,0,1,5,female_Ishd
48,female,7.386784610657731e-5,6.44337225075159e-4,0.009838336272552086,3.8554237911593906e-4,7531,Ishd,0,50,45,0,1,5,female_Ishd
49,female,7.386784610657731e-5,6.44337225075159e-4,0.009838336272552086,3.8554237911593906e-4,7531,Ishd,0,50,45,0,1,5,female_Ishd
50,female,1.2299871023640566e-4,0.0011336564859277054,0.015861272271569932,5.832236183436935e-4,7629,Ishd,0,50,50,1,1,5,female_Ishd
51,female,1.2299871023640566e-4,0.0011336564859277054,0.015861272271569932,5.832236183436935e-4,7629,Ishd,0,50,50,1,1,5,female_Ishd
52,female,1.2299871023640566e-4,0.0011336564859277054,0.015861272271569932,5.832236183436935e-4,7629,Ishd,0,50,50,1,1,5,female_Ishd
53,female,1.2299871023640566e-4,0.0011336564859277054,0.015861272271569932,5.832236183436935e-4,7629,Ishd,0,50,50,1,1,5,female_Ishd
54,female,1.2299871023640566e-4,0.0011336564859277054,0.015861272271569932,5.832236183436935e-4,7629,Ishd,0,50,50,1,1,5,female_Ishd
55,female,2.2278786406136977e-4,0.0018415626309239922,0.024482143050346447,8.478242075940145e-4,6580,Ishd,0,50,55,1,1,5,female_Ishd
56,female,2.2278786406136977e-4,0.0018415626309239922,0.024482143050346447,8.478242075940145e-4,6580,Ishd,0,50,55,1,1,5,female_Ishd
57,female,2.2278786406136977e-4,0.0018415626309239922,0.024482143050346447,8.478242075940145e-4,6580,Ishd,0,50,55,1,1,5,female_Ishd
58,female,2.2278786406136977e-4,0.0018415626309239922,0.024482143050346447,8.478242075940145e-4,6580,Ishd,0,50,55,1,1,5,female_Ishd
59,female,2.2278786406136977e-4,0.0018415626309239922,0.024482143050346447,8.478242075940145e-4,6580,Ishd,0,50,55,1,1,5,female_Ishd
60,female,4.346912542065905e-4,0.0033403383809343795,0.036768554251581195,0.0012199672805165822,5725,Ishd,0,50,60,2,2,5,female_Ishd
61,female,4.346912542065905e-4,0.0033403383809343795,0.036768554251581195,0.0012199672805165822,5725,Ishd,0,50,60,2,2,5,female_Ishd
62,female,4.346912542065905e-4,0.0033403383809343795,0.036768554251581195,0.0012199672805165822,5725,Ishd,0,50,60,2,2,5,female_Ishd
63,female,4.346912542065905e-4,0.0033403383809343795,0.036768554251581195,0.0012199672805165822,5725,Ishd,0,50,60,2,2,5,female_Ishd
64,female,4.346912542065905e-4,0.0033403383809343795,0.036768554251581195,0.0012199672805165822,5725,Ishd,0,50,60,2,2,5,female_Ishd
65,female,7.545522731389433e-4,0.00563663159014089,0.05876874218796309,0.0018408364343541327,5670,Ishd,0,50,65,3,4,5,female_Ishd
66,female,7.545522731389433e-4,0.00563663159014089,0.05876874218796309,0.0018408364343541327,5670,Ishd,0,50,65,3,4,5,female_Ishd
67,female,7.545522731389433e-4,0.00563663159014089,0.05876874218796309,0.0018408364343541327,5670,Ishd,0,50,65,3,4,5,female_Ishd
68,female,7.545522731389433e-4,0.00563663159014089,0.05876874218796309,0.0018408364343541327,5670,Ishd,0,50,65,3,4,5,female_Ishd
69,female,7.545522731389433e-4,0.00563663159014089,0.05876874218796309,0.0018408364343541327,5670,Ishd,0,50,65,3,4,5,female_Ishd
70,female,0.001406290920422055,0.009712368133560852,0.085788492902361,0.002635748997411781,5104,Ishd,0,50,70,4,7,5,female_Ishd
71,female,0.001406290920422055,0.009712368133560852,0.085788492902361,0.002635748997411781,5104,Ishd,0,50,70,4,7,5,female_Ishd
72,female,0.001406290920422055,0.009712368133560852,0.085788492902361,0.002635748997411781,5104,Ishd,0,50,70,4,7,5,female_Ishd
73,female,0.001406290920422055,0.009712368133560852,0.085788492902361,0.002635748997411781,5104,Ishd,0,50,70,4,7,5,female_Ishd
74,female,0.001406290920422055,0.009712368133560852,0.085788492902361,0.002635748997411781,5104,Ishd,0,50,70,4,7,5,female_Ishd
