age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_utrc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
36,female,1.6918672315612352e-6,4.1621225645348435e-5,3.588959107497093e-4,2.328831584766832e-5,7482,Utrc,0,50,35,0,0,5,female_Utrc
37,female,1.6918672315612352e-6,4.1621225645348435e-5,3.588959107497093e-4,2.328831584766832e-5,7482,Utrc,0,50,35,0,0,5,female_Utrc
38,female,1.6918672315612352e-6,4.1621225645348435e-5,3.588959107497093e-4,2.328831584766832e-5,7482,Utrc,0,50,35,0,0,5,female_Utrc
39,female,1.6918672315612352e-6,4.1621225645348435e-5,3.588959107497093e-4,2.328831584766832e-5,7482,Utrc,0,50,35,0,0,5,female_Utrc
40,female,3.994598860775648e-6,8.54516031546689e-5,7.356666562949191e-4,4.76453066335614e-5,6901,Utrc,0,50,40,0,0,5,female_Utrc
41,female,3.994598860775648e-6,8.54516031546689e-5,7.356666562949191e-4,4.76453066335614e-5,6901,Utrc,0,50,40,0,0,5,female_Utrc
42,female,3.994598860775648e-6,8.54516031546689e-5,7.356666562949191e-4,4.76453066335614e-5,6901,Utrc,0,50,40,0,0,5,female_Utrc
43,female,3.994598860775648e-6,8.54516031546689e-5,7.356666562949191e-4,4.76453066335614e-5,6901,Utrc,0,50,40,0,0,5,female_Utrc
44,female,3.994598860775648e-6,8.54516031546689e-5,7.356666562949191e-4,4.76453066335614e-5,6901,Utrc,0,50,40,0,0,5,female_Utrc
45,female,1.008942816396086e-5,1.944082349965759e-4,0.0016679998084773472,1.0812928748808112e-4,7531,Utrc,0,50,45,0,0,5,female_Utrc
46,female,1.008942816396086e-5,1.944082349965759e-4,0.0016679998084773472,1.0812928748808112e-4,7531,Utrc,0,50,45,0,0,5,female_Utrc
47,female,1.008942816396086e-5,1.944082349965759e-4,0.0016679998084773472,1.0812928748808112e-4,7531,Utrc,0,50,45,0,0,5,female_Utrc
48,female,1.008942816396086e-5,1.944082349965759e-4,0.0016679998084773472,1.0812928748808112e-4,7531,Utrc,0,50,45,0,0,5,female_Utrc
49,female,1.008942816396086e-5,1.944082349965759e-4,0.0016679998084773472,1.0812928748808112e-4,7531,Utrc,0,50,45,0,0,5,female_Utrc
50,female,2.2473834894818834e-5,4.2811469859553954e-4,0.003661005621912547,2.335365135781937e-4,7629,Utrc,0,50,50,0,0,5,female_Utrc
51,female,2.2473834894818834e-5,4.2811469859553954e-4,0.003661005621912547,2.335365135781937e-4,7629,Utrc,0,50,50,0,0,5,female_Utrc
52,female,2.2473834894818834e-5,4.2811469859553954e-4,0.003661005621912547,2.335365135781937e-4,7629,Utrc,0,50,50,0,0,5,female_Utrc
53,female,2.2473834894818834e-5,4.2811469859553954e-4,0.003661005621912547,2.335365135781937e-4,7629,Utrc,0,50,50,0,0,5,female_Utrc
54,female,2.2473834894818834e-5,4.2811469859553954e-4,0.003661005621912547,2.335365135781937e-4,7629,Utrc,0,50,50,0,0,5,female_Utrc
55,female,4.88177150966894e-5,8.084491737977466e-4,0.006863465641581017,4.3301533567317635e-4,6580,Utrc,0,50,55,0,0,5,female_Utrc
56,female,4.88177150966894e-5,8.084491737977466e-4,0.006863465641581017,4.3301533567317635e-4,6580,Utrc,0,50,55,0,0,5,female_Utrc
57,female,4.88177150966894e-5,8.084491737977466e-4,0.006863465641581017,4.3301533567317635e-4,6580,Utrc,0,50,55,0,0,5,female_Utrc
58,female,4.88177150966894e-5,8.084491737977466e-4,0.006863465641581017,4.3301533567317635e-4,6580,Utrc,0,50,55,0,0,5,female_Utrc
59,female,4.88177150966894e-5,8.084491737977466e-4,0.006863465641581017,4.3301533567317635e-4,6580,Utrc,0,50,55,0,0,5,female_Utrc
60,female,9.937722689542616e-5,0.0010807592734852173,0.00897907374555633,5.71767294589508e-4,5725,Utrc,0,50,60,0,1,5,female_Utrc
61,female,9.937722689542616e-5,0.0010807592734852173,0.00897907374555633,5.71767294589508e-4,5725,Utrc,0,50,60,0,1,5,female_Utrc
62,female,9.937722689542616e-5,0.0010807592734852173,0.00897907374555633,5.71767294589508e-4,5725,Utrc,0,50,60,0,1,5,female_Utrc
63,female,9.937722689542616e-5,0.0010807592734852173,0.00897907374555633,5.71767294589508e-4,5725,Utrc,0,50,60,0,1,5,female_Utrc
64,female,9.937722689542616e-5,0.0010807592734852173,0.00897907374555633,5.71767294589508e-4,5725,Utrc,0,50,60,0,1,5,female_Utrc
65,female,1.6136467763569224e-4,0.0012249849756316394,0.009860605965523312,6.375265906813075e-4,5670,Utrc,0,50,65,0,1,5,female_Utrc
66,female,1.6136467763569224e-4,0.0012249849756316394,0.009860605965523312,6.375265906813075e-4,5670,Utrc,0,50,65,0,1,5,female_Utrc
67,female,1.6136467763569224e-4,0.0012249849756316394,0.009860605965523312,6.375265906813075e-4,5670,Utrc,0,50,65,0,1,5,female_Utrc
68,female,1.6136467763569224e-4,0.0012249849756316394,0.009860605965523312,6.375265906813075e-4,5670,Utrc,0,50,65,0,1,5,female_Utrc
69,female,1.6136467763569224e-4,0.0012249849756316394,0.009860605965523312,6.375265906813075e-4,5670,Utrc,0,50,65,0,1,5,female_Utrc
70,female,2.2183679010275923e-4,0.00128191259490149,0.0098591233377123,6.538919202263744e-4,5104,Utrc,0,50,70,0,1,5,female_Utrc
71,female,2.2183679010275923e-4,0.00128191259490149,0.0098591233377123,6.538919202263744e-4,5104,Utrc,0,50,70,0,1,5,female_Utrc
72,female,2.2183679010275923e-4,0.00128191259490149,0.0098591233377123,6.538919202263744e-4,5104,Utrc,0,50,70,0,1,5,female_Utrc
73,female,2.2183679010275923e-4,0.00128191259490149,0.0098591233377123,6.538919202263744e-4,5104,Utrc,0,50,70,0,1,5,female_Utrc
74,female,2.2183679010275923e-4,0.00128191259490149,0.0098591233377123,6.538919202263744e-4,5104,Utrc,0,50,70,0,1,5,female_Utrc
75,female,2.883814917615605e-4,0.0012089041738557811,0.008523275101572761,5.960983443485569e-4,3792,Utrc,0,50,75,0,1,5,female_Utrc
76,female,2.883814917615605e-4,0.0012089041738557811,0.008523275101572761,5.960983443485569e-4,3792,Utrc,0,50,75,0,1,5,female_Utrc
77,female,2.883814917615605e-4,0.0012089041738557811,0.008523275101572761,5.960983443485569e-4,3792,Utrc,0,50,75,0,1,5,female_Utrc
78,female,2.883814917615605e-4,0.0012089041738557811,0.008523275101572761,5.960983443485569e-4,3792,Utrc,0,50,75,0,1,5,female_Utrc
79,female,2.883814917615605e-4,0.0012089041738557811,0.008523275101572761,5.960983443485569e-4,3792,Utrc,0,50,75,0,1,5,female_Utrc
80,female,3.553273840885332e-4,8.828551808660369e-4,0.005201185694394586,4.061665270038083e-4,2983,Utrc,0,20,80,0,1,5,female_Utrc
81,female,3.553273840885332e-4,8.828551808660369e-4,0.005201185694394586,4.061665270038083e-4,2983,Utrc,0,20,80,0,1,5,female_Utrc
82,female,3.553273840885332e-4,8.828551808660369e-4,0.005201185694394586,4.061665270038083e-4,2983,Utrc,0,20,80,0,1,5,female_Utrc
83,female,3.553273840885332e-4,8.828551808660369e-4,0.005201185694394586,4.061665270038083e-4,2983,Utrc,0,20,80,0,1,5,female_Utrc
84,female,3.553273840885332e-4,8.828551808660369e-4,0.005201185694394586,4.061665270038083e-4,2983,Utrc,0,20,80,0,1,5,female_Utrc
85,female,4.664828595131167e-4,0.0011586497178120716,0.0057831635591404865,5.290122731902096e-4,2001,Utrc,0,20,85,0,1,5,female_Utrc
86,female,4.664828595131167e-4,0.0011586497178120716,0.0057831635591404865,5.290122731902096e-4,2001,Utrc,0,20,85,0,1,5,female_Utrc
87,female,4.664828595131167e-4,0.0011586497178120716,0.0057831635591404865,5.290122731902096e-4,2001,Utrc,0,20,85,0,1,5,female_Utrc
88,female,4.664828595131167e-4,0.0011586497178120716,0.0057831635591404865,5.290122731902096e-4,2001,Utrc,0,20,85,0,1,5,female_Utrc
89,female,4.664828595131167e-4,0.0011586497178120716,0.0057831635591404865,5.290122731902096e-4,2001,Utrc,0,20,85,0,1,5,female_Utrc
90,female,5.228443915033858e-4,0.0012954936784250626,0.005015413043603417,5.682388208679462e-4,1019,Utrc,0,10,90,0,1,5,female_Utrc
91,female,5.228443915033858e-4,0.0012954936784250626,0.005015413043603417,5.682388208679462e-4,1019,Utrc,0,10,90,0,1,5,female_Utrc
92,female,5.228443915033858e-4,0.0012954936784250626,0.005015413043603417,5.682388208679462e-4,1019,Utrc,0,10,90,0,1,5,female_Utrc
93,female,5.228443915033858e-4,0.0012954936784250626,0.005015413043603417,5.682388208679462e-4,1019,Utrc,0,10,90,0,1,5,female_Utrc
94,female,5.228443915033858e-4,0.0012954936784250626,0.005015413043603417,5.682388208679462e-4,1019,Utrc,0,10,90,0,1,5,female_Utrc
95,female,6.124233002718945e-4,0.0015129676725549389,0.0011280750262253763,3.431700047720342e-4,275,Utrc,0,10,95,0,0,6,female_Utrc
96,female,6.124233002718945e-4,0.0015129676725549389,0.0011280750262253763,3.431700047720342e-4,275,Utrc,0,10,95,0,0,6,female_Utrc
97,female,6.124233002718945e-4,0.0015129676725549389,0.0011280750262253763,3.431700047720342e-4,275,Utrc,0,10,95,0,0,6,female_Utrc
98,female,6.124233002718945e-4,0.0015129676725549389,0.0011280750262253763,3.431700047720342e-4,275,Utrc,0,10,95,0,0,6,female_Utrc
99,female,6.124233002718945e-4,0.0015129676725549389,0.0011280750262253763,3.431700047720342e-4,275,Utrc,0,10,95,0,0,6,female_Utrc
100,female,6.124233002718945e-4,0.0015129676725549389,0.0011280750262253763,3.431700047720342e-4,275,Utrc,0,10,95,0,0,6,female_Utrc
