age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_iscs,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
1,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
2,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
3,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
4,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
5,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
6,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
7,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
8,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
9,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
10,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
11,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
12,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
13,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
14,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
15,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
16,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
17,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
18,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
19,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
20,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
21,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
22,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
23,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
24,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
25,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
26,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
27,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
28,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
29,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
30,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
31,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
32,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
33,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
34,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
35,female,1.6758053828593557e-6,1.4041966454100987e-4,0.002352876129351745,3.051849274809283e-4,7482,Iscs,0,50,35,0,0,5,female_Iscs
