age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_dmt2,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
71,female,1.0001777805873951e-4,0.007103903312099181,0.15039876923769524,0.00951169631506528,5104,Dmt2,0,50,70,8,1,5,female_Dmt2
72,female,1.0001777805873951e-4,0.007103903312099181,0.15039876923769524,0.00951169631506528,5104,Dmt2,0,50,70,8,1,5,female_Dmt2
73,female,1.0001777805873951e-4,0.007103903312099181,0.15039876923769524,0.00951169631506528,5104,Dmt2,0,50,70,8,1,5,female_Dmt2
74,female,1.0001777805873951e-4,0.007103903312099181,0.15039876923769524,0.00951169631506528,5104,Dmt2,0,50,70,8,1,5,female_Dmt2
75,female,2.0258251701354085e-4,0.012605752086509003,0.19474159337273805,0.012274780320636391,3792,Dmt2,0,50,75,10,1,5,female_Dmt2
76,female,2.0258251701354085e-4,0.012605752086509003,0.19474159337273805,0.012274780320636391,3792,Dmt2,0,50,75,10,1,5,female_Dmt2
77,female,2.0258251701354085e-4,0.012605752086509003,0.19474159337273805,0.012274780320636391,3792,Dmt2,0,50,75,10,1,5,female_Dmt2
78,female,2.0258251701354085e-4,0.012605752086509003,0.19474159337273805,0.012274780320636391,3792,Dmt2,0,50,75,10,1,5,female_Dmt2
79,female,2.0258251701354085e-4,0.012605752086509003,0.19474159337273805,0.012274780320636391,3792,Dmt2,0,50,75,10,1,5,female_Dmt2
80,female,4.2254499454695956e-4,0.011002832757464694,0.2521949753054047,0.01574797563912902,2983,Dmt2,0,20,80,5,1,5,female_Dmt2
81,female,4.2254499454695956e-4,0.011002832757464694,0.2521949753054047,0.01574797563912902,2983,Dmt2,0,20,80,5,1,5,female_Dmt2
82,female,4.2254499454695956e-4,0.011002832757464694,0.2521949753054047,0.01574797563912902,2983,Dmt2,0,20,80,5,1,5,female_Dmt2
83,female,4.2254499454695956e-4,0.011002832757464694,0.2521949753054047,0.01574797563912902,2983,Dmt2,0,20,80,5,1,5,female_Dmt2
84,female,4.2254499454695956e-4,0.011002832757464694,0.2521949753054047,0.01574797563912902,2983,Dmt2,0,20,80,5,1,5,female_Dmt2
85,female,8.723386286404274e-4,0.004021659505632791,0.2808819819949861,0.01731867869939594,2001,Dmt2,0,20,85,6,2,5,female_Dmt2
86,female,8.723386286404274e-4,0.004021659505632791,0.2808819819949861,0.01731867869939594,2001,Dmt2,0,20,85,6,2,5,female_Dmt2
87,female,8.723386286404274e-4,0.004021659505632791,0.2808819819949861,0.01731867869939594,2001,Dmt2,0,20,85,6,2,5,female_Dmt2
88,female,8.723386286404274e-4,0.004021659505632791,0.2808819819949861,0.01731867869939594,2001,Dmt2,0,20,85,6,2,5,female_Dmt2
89,female,8.723386286404274e-4,0.004021659505632791,0.2808819819949861,0.01731867869939594,2001,Dmt2,0,20,85,6,2,5,female_Dmt2
90,female,0.001459796820806664,6.354647712656227e-4,0.28208778447837207,0.01723333291714887,1019,Dmt2,0,10,90,3,1,5,female_Dmt2
91,female,0.001459796820806664,6.354647712656227e-4,0.28208778447837207,0.01723333291714887,1019,Dmt2,0,10,90,3,1,5,female_Dmt2
92,female,0.001459796820806664,6.354647712656227e-4,0.28208778447837207,0.01723333291714887,1019,Dmt2,0,10,90,3,1,5,female_Dmt2
93,female,0.001459796820806664,6.354647712656227e-4,0.28208778447837207,0.01723333291714887,1019,Dmt2,0,10,90,3,1,5,female_Dmt2
94,female,0.001459796820806664,6.354647712656227e-4,0.28208778447837207,0.01723333291714887,1019,Dmt2,0,10,90,3,1,5,female_Dmt2
95,female,0.002558743891069262,3.7354460841655256e-4,0.2727350262763784,0.016586521061867514,275,Dmt2,0,10,95,3,1,6,female_Dmt2
96,female,0.002558743891069262,3.7354460841655256e-4,0.2727350262763784,0.016586521061867514,275,Dmt2,0,10,95,3,1,6,female_Dmt2
97,female,0.002558743891069262,3.7354460841655256e-4,0.2727350262763784,0.016586521061867514,275,Dmt2,0,10,95,3,1,6,female_Dmt2
98,female,0.002558743891069262,3.7354460841655256e-4,0.2727350262763784,0.016586521061867514,275,Dmt2,0,10,95,3,1,6,female_Dmt2
99,female,0.002558743891069262,3.7354460841655256e-4,0.2727350262763784,0.016586521061867514,275,Dmt2,0,10,95,3,1,6,female_Dmt2
100,female,0.002558743891069262,3.7354460841655256e-4,0.2727350262763784,0.016586521061867514,275,Dmt2,0,10,95,3,1,6,female_Dmt2
