age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_iscs,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
38,male,2.210091542185909e-6,1.0165432471400666e-4,0.0018933509991466008,2.1487546937925563e-4,7997,Iscs,0,50,35,0,0,5,male_Iscs
39,male,2.210091542185909e-6,1.0165432471400666e-4,0.0018933509991466008,2.1487546937925563e-4,7997,Iscs,0,50,35,0,0,5,male_Iscs
40,male,6.03116396948375e-6,2.3983919005051918e-4,0.002801130784430574,3.2307744354594944e-4,7179,Iscs,0,50,40,0,0,5,male_Iscs
41,male,6.03116396948375e-6,2.3983919005051918e-4,0.002801130784430574,3.2307744354594944e-4,7179,Iscs,0,50,40,0,0,5,male_Iscs
42,male,6.03116396948375e-6,2.3983919005051918e-4,0.002801130784430574,3.2307744354594944e-4,7179,Iscs,0,50,40,0,0,5,male_Iscs
43,male,6.03116396948375e-6,2.3983919005051918e-4,0.002801130784430574,3.2307744354594944e-4,7179,Iscs,0,50,40,0,0,5,male_Iscs
44,male,6.03116396948375e-6,2.3983919005051918e-4,0.002801130784430574,3.2307744354594944e-4,7179,Iscs,0,50,40,0,0,5,male_Iscs
45,male,1.320982175776999e-5,4.705716512185716e-4,0.004591463784962578,5.366343399223027e-4,7628,Iscs,0,50,45,0,0,5,male_Iscs
46,male,1.320982175776999e-5,4.705716512185716e-4,0.004591463784962578,5.366343399223027e-4,7628,Iscs,0,50,45,0,0,5,male_Iscs
47,male,1.320982175776999e-5,4.705716512185716e-4,0.004591463784962578,5.366343399223027e-4,7628,Iscs,0,50,45,0,0,5,male_Iscs
48,male,1.320982175776999e-5,4.705716512185716e-4,0.004591463784962578,5.366343399223027e-4,7628,Iscs,0,50,45,0,0,5,male_Iscs
49,male,1.320982175776999e-5,4.705716512185716e-4,0.004591463784962578,5.366343399223027e-4,7628,Iscs,0,50,45,0,0,5,male_Iscs
50,male,2.2351039799837176e-5,8.97236473038383e-4,0.007616666632472694,9.006354652412066e-4,7605,Iscs,0,50,50,0,0,5,male_Iscs
51,male,2.2351039799837176e-5,8.97236473038383e-4,0.007616666632472694,9.006354652412066e-4,7605,Iscs,0,50,50,0,0,5,male_Iscs
52,male,2.2351039799837176e-5,8.97236473038383e-4,0.007616666632472694,9.006354652412066e-4,7605,Iscs,0,50,50,0,0,5,male_Iscs
53,male,2.2351039799837176e-5,8.97236473038383e-4,0.007616666632472694,9.006354652412066e-4,7605,Iscs,0,50,50,0,0,5,male_Iscs
54,male,2.2351039799837176e-5,8.97236473038383e-4,0.007616666632472694,9.006354652412066e-4,7605,Iscs,0,50,50,0,0,5,male_Iscs
55,male,3.632763068635602e-5,0.0015192580510725983,0.012810947867866348,0.0015543156008153642,6479,Iscs,0,50,55,1,0,5,male_Iscs
56,male,3.632763068635602e-5,0.0015192580510725983,0.012810947867866348,0.0015543156008153642,6479,Iscs,0,50,55,1,0,5,male_Iscs
57,male,3.632763068635602e-5,0.0015192580510725983,0.012810947867866348,0.0015543156008153642,6479,Iscs,0,50,55,1,0,5,male_Iscs
58,male,3.632763068635602e-5,0.0015192580510725983,0.012810947867866348,0.0015543156008153642,6479,Iscs,0,50,55,1,0,5,male_Iscs
59,male,3.632763068635602e-5,0.0015192580510725983,0.012810947867866348,0.0015543156008153642,6479,Iscs,0,50,55,1,0,5,male_Iscs
60,male,9.365583151092742e-5,0.0020383342385601006,0.020359425211485118,0.002469643744099802,5560,Iscs,0,50,60,1,1,5,male_Iscs
61,male,9.365583151092742e-5,0.0020383342385601006,0.020359425211485118,0.002469643744099802,5560,Iscs,0,50,60,1,1,5,male_Iscs
62,male,9.365583151092742e-5,0.0020383342385601006,0.020359425211485118,0.002469643744099802,5560,Iscs,0,50,60,1,1,5,male_Iscs
63,male,9.365583151092742e-5,0.0020383342385601006,0.020359425211485118,0.002469643744099802,5560,Iscs,0,50,60,1,1,5,male_Iscs
64,male,9.365583151092742e-5,0.0020383342385601006,0.020359425211485118,0.002469643744099802,5560,Iscs,0,50,60,1,1,5,male_Iscs
65,male,1.7493312694630197e-4,0.002455476815911505,0.03023669933152853,0.003690751143949338,5418,Iscs,0,50,65,2,1,5,male_Iscs
66,male,1.7493312694630197e-4,0.002455476815911505,0.03023669933152853,0.003690751143949338,5418,Iscs,0,50,65,2,1,5,male_Iscs
67,male,1.7493312694630197e-4,0.002455476815911505,0.03023669933152853,0.003690751143949338,5418,Iscs,0,50,65,2,1,5,male_Iscs
68,male,1.7493312694630197e-4,0.002455476815911505,0.03023669933152853,0.003690751143949338,5418,Iscs,0,50,65,2,1,5,male_Iscs
69,male,1.7493312694630197e-4,0.002455476815911505,0.03023669933152853,0.003690751143949338,5418,Iscs,0,50,65,2,1,5,male_Iscs
70,male,4.2753366299260224e-4,0.003026064039173361,0.04233961386301113,0.00588269864760343,4800,Iscs,0,50,70,2,2,5,male_Iscs
71,male,4.2753366299260224e-4,0.003026064039173361,0.04233961386301113,0.00588269864760343,4800,Iscs,0,50,70,2,2,5,male_Iscs
72,male,4.2753366299260224e-4,0.003026064039173361,0.04233961386301113,0.00588269864760343,4800,Iscs,0,50,70,2,2,5,male_Iscs
73,male,4.2753366299260224e-4,0.003026064039173361,0.04233961386301113,0.00588269864760343,4800,Iscs,0,50,70,2,2,5,male_Iscs
74,male,4.2753366299260224e-4,0.003026064039173361,0.04233961386301113,0.00588269864760343,4800,Iscs,0,50,70,2,2,5,male_Iscs
75,male,9.503323143585498e-4,0.0037439361667055823,0.05653980855208697,0.008752069809827083,3332,Iscs,0,50,75,3,3,5,male_Iscs
76,male,9.503323143585498e-4,0.0037439361667055823,0.05653980855208697,0.008752069809827083,3332,Iscs,0,50,75,3,3,5,male_Iscs
77,male,9.503323143585498e-4,0.0037439361667055823,0.05653980855208697,0.008752069809827083,3332,Iscs,0,50,75,3,3,5,male_Iscs
78,male,9.503323143585498e-4,0.0037439361667055823,0.05653980855208697,0.008752069809827083,3332,Iscs,0,50,75,3,3,5,male_Iscs
79,male,9.503323143585498e-4,0.0037439361667055823,0.05653980855208697,0.008752069809827083,3332,Iscs,0,50,75,3,3,5,male_Iscs
80,male,0.002766854790275925,0.005676538271010423,0.07222684983588454,0.012333237157551132,2291,Iscs,0,20,80,1,6,5,male_Iscs
81,male,0.002766854790275925,0.005676538271010423,0.07222684983588454,0.012333237157551132,2291,Iscs,0,20,80,1,6,5,male_Iscs
82,male,0.002766854790275925,0.005676538271010423,0.07222684983588454,0.012333237157551132,2291,Iscs,0,20,80,1,6,5,male_Iscs
83,male,0.002766854790275925,0.005676538271010423,0.07222684983588454,0.012333237157551132,2291,Iscs,0,20,80,1,6,5,male_Iscs
84,male,0.002766854790275925,0.005676538271010423,0.07222684983588454,0.012333237157551132,2291,Iscs,0,20,80,1,6,5,male_Iscs
85,male,0.0067359390249120046,0.008825222879078293,0.0879016530257907,0.015850257725678347,1276,Iscs,0,20,85,2,9,5,male_Iscs
86,male,0.0067359390249120046,0.008825222879078293,0.0879016530257907,0.015850257725678347,1276,Iscs,0,20,85,2,9,5,male_Iscs
87,male,0.0067359390249120046,0.008825222879078293,0.0879016530257907,0.015850257725678347,1276,Iscs,0,20,85,2,9,5,male_Iscs
88,male,0.0067359390249120046,0.008825222879078293,0.0879016530257907,0.015850257725678347,1276,Iscs,0,20,85,2,9,5,male_Iscs
89,male,0.0067359390249120046,0.008825222879078293,0.0879016530257907,0.015850257725678347,1276,Iscs,0,20,85,2,9,5,male_Iscs
90,male,0.011461806965138308,0.011983042488564041,0.10012227934397966,0.018835544940141728,506,Iscs,0,10,90,1,6,5,male_Iscs
91,male,0.011461806965138308,0.011983042488564041,0.10012227934397966,0.018835544940141728,506,Iscs,0,10,90,1,6,5,male_Iscs
92,male,0.011461806965138308,0.011983042488564041,0.10012227934397966,0.018835544940141728,506,Iscs,0,10,90,1,6,5,male_Iscs
93,male,0.011461806965138308,0.011983042488564041,0.10012227934397966,0.018835544940141728,506,Iscs,0,10,90,1,6,5,male_Iscs
94,male,0.011461806965138308,0.011983042488564041,0.10012227934397966,0.018835544940141728,506,Iscs,0,10,90,1,6,5,male_Iscs
95,male,0.02065299752425297,0.015152273484364728,0.10730820862306366,0.02138135685934369,91,Iscs,0,10,95,1,2,6,male_Iscs
96,male,0.02065299752425297,0.015152273484364728,0.10730820862306366,0.02138135685934369,91,Iscs,0,10,95,1,2,6,male_Iscs
97,male,0.02065299752425297,0.015152273484364728,0.10730820862306366,0.02138135685934369,91,Iscs,0,10,95,1,2,6,male_Iscs
98,male,0.02065299752425297,0.015152273484364728,0.10730820862306366,0.02138135685934369,91,Iscs,0,10,95,1,2,6,male_Iscs
99,male,0.02065299752425297,0.015152273484364728,0.10730820862306366,0.02138135685934369,91,Iscs,0,10,95,1,2,6,male_Iscs
100,male,0.02065299752425297,0.015152273484364728,0.10730820862306366,0.02138135685934369,91,Iscs,0,10,95,1,2,6,male_Iscs
