age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_copd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
35,male,3.156457212098836e-6,0.00196597173209221,0.025219364413071103,0.0014593461675257904,7997,Copd,0,50,35,1,0,5,male_Copd
36,male,3.156457212098836e-6,0.00196597173209221,0.025219364413071103,0.0014593461675257904,7997,Copd,0,50,35,1,0,5,male_Copd
37,male,3.156457212098836e-6,0.00196597173209221,0.025219364413071103,0.0014593461675257904,7997,Copd,0,50,35,1,0,5,male_Copd
38,male,3.156457212098836e-6,0.00196597173209221,0.025219364413071103,0.0014593461675257904,7997,Copd,0,50,35,1,0,5,male_Copd
39,male,3.156457212098836e-6,0.00196597173209221,0.025219364413071103,0.0014593461675257904,7997,Copd,0,50,35,1,0,5,male_Copd
40,male,1.2313199468710052e-5,0.002836542656457435,0.037029316610203235,0.0021171116263707175,7179,Copd,0,50,40,2,0,5,male_Copd
41,male,1.2313199468710052e-5,0.002836542656457435,0.037029316610203235,0.0021171116263707175,7179,Copd,0,50,40,2,0,5,male_Copd
42,male,1.2313199468710052e-5,0.002836542656457435,0.037029316610203235,0.0021171116263707175,7179,Copd,0,50,40,2,0,5,male_Copd
43,male,1.2313199468710052e-5,0.002836542656457435,0.037029316610203235,0.0021171116263707175,7179,Copd,0,50,40,2,0,5,male_Copd
44,male,1.2313199468710052e-5,0.002836542656457435,0.037029316610203235,0.0021171116263707175,7179,Copd,0,50,40,2,0,5,male_Copd
45,male,2.734323205751786e-5,0.003950475187991356,0.05349474915887626,0.0030422693884836756,7628,Copd,0,50,45,3,0,5,male_Copd
46,male,2.734323205751786e-5,0.003950475187991356,0.05349474915887626,0.0030422693884836756,7628,Copd,0,50,45,3,0,5,male_Copd
47,male,2.734323205751786e-5,0.003950475187991356,0.05349474915887626,0.0030422693884836756,7628,Copd,0,50,45,3,0,5,male_Copd
48,male,2.734323205751786e-5,0.003950475187991356,0.05349474915887626,0.0030422693884836756,7628,Copd,0,50,45,3,0,5,male_Copd
49,male,2.734323205751786e-5,0.003950475187991356,0.05349474915887626,0.0030422693884836756,7628,Copd,0,50,45,3,0,5,male_Copd
50,male,6.309181130207478e-5,0.005382923868436607,0.07633853652869052,0.0043217724699384525,7605,Copd,0,50,50,4,0,5,male_Copd
51,male,6.309181130207478e-5,0.005382923868436607,0.07633853652869052,0.0043217724699384525,7605,Copd,0,50,50,4,0,5,male_Copd
52,male,6.309181130207478e-5,0.005382923868436607,0.07633853652869052,0.0043217724699384525,7605,Copd,0,50,50,4,0,5,male_Copd
53,male,6.309181130207478e-5,0.005382923868436607,0.07633853652869052,0.0043217724699384525,7605,Copd,0,50,50,4,0,5,male_Copd
54,male,6.309181130207478e-5,0.005382923868436607,0.07633853652869052,0.0043217724699384525,7605,Copd,0,50,50,4,0,5,male_Copd
55,male,1.4627764481211489e-4,0.006810344301983538,0.10653408446995011,0.005986942525703015,6479,Copd,0,50,55,5,1,5,male_Copd
56,male,1.4627764481211489e-4,0.006810344301983538,0.10653408446995011,0.005986942525703015,6479,Copd,0,50,55,5,1,5,male_Copd
57,male,1.4627764481211489e-4,0.006810344301983538,0.10653408446995011,0.005986942525703015,6479,Copd,0,50,55,5,1,5,male_Copd
58,male,1.4627764481211489e-4,0.006810344301983538,0.10653408446995011,0.005986942525703015,6479,Copd,0,50,55,5,1,5,male_Copd
59,male,1.4627764481211489e-4,0.006810344301983538,0.10653408446995011,0.005986942525703015,6479,Copd,0,50,55,5,1,5,male_Copd
60,male,3.944437728555897e-4,0.00825658739185703,0.1430424048350063,0.008019520769108687,5560,Copd,0,50,60,7,2,5,male_Copd
61,male,3.944437728555897e-4,0.00825658739185703,0.1430424048350063,0.008019520769108687,5560,Copd,0,50,60,7,2,5,male_Copd
62,male,3.944437728555897e-4,0.00825658739185703,0.1430424048350063,0.008019520769108687,5560,Copd,0,50,60,7,2,5,male_Copd
63,male,3.944437728555897e-4,0.00825658739185703,0.1430424048350063,0.008019520769108687,5560,Copd,0,50,60,7,2,5,male_Copd
64,male,3.944437728555897e-4,0.00825658739185703,0.1430424048350063,0.008019520769108687,5560,Copd,0,50,60,7,2,5,male_Copd
65,male,7.374241468933967e-4,0.009841923290485633,0.1852728761773018,0.010490695443677048,5418,Copd,0,50,65,9,4,5,male_Copd
66,male,7.374241468933967e-4,0.009841923290485633,0.1852728761773018,0.010490695443677048,5418,Copd,0,50,65,9,4,5,male_Copd
67,male,7.374241468933967e-4,0.009841923290485633,0.1852728761773018,0.010490695443677048,5418,Copd,0,50,65,9,4,5,male_Copd
68,male,7.374241468933967e-4,0.009841923290485633,0.1852728761773018,0.010490695443677048,5418,Copd,0,50,65,9,4,5,male_Copd
69,male,7.374241468933967e-4,0.009841923290485633,0.1852728761773018,0.010490695443677048,5418,Copd,0,50,65,9,4,5,male_Copd
70,male,0.0013957920364948842,0.011280482868774777,0.2336742241507832,0.013326872945293987,4800,Copd,0,50,70,12,7,5,male_Copd
71,male,0.0013957920364948842,0.011280482868774777,0.2336742241507832,0.013326872945293987,4800,Copd,0,50,70,12,7,5,male_Copd
72,male,0.0013957920364948842,0.011280482868774777,0.2336742241507832,0.013326872945293987,4800,Copd,0,50,70,12,7,5,male_Copd
73,male,0.0013957920364948842,0.011280482868774777,0.2336742241507832,0.013326872945293987,4800,Copd,0,50,70,12,7,5,male_Copd
74,male,0.0013957920364948842,0.011280482868774777,0.2336742241507832,0.013326872945293987,4800,Copd,0,50,70,12,7,5,male_Copd
75,male,0.0025993727923915907,0.011616331737983232,0.2848359642023137,0.016300181135656733,3332,Copd,0,50,75,14,9,5,male_Copd
76,male,0.0025993727923915907,0.011616331737983232,0.2848359642023137,0.016300181135656733,3332,Copd,0,50,75,14,9,5,male_Copd
77,male,0.0025993727923915907,0.011616331737983232,0.2848359642023137,0.016300181135656733,3332,Copd,0,50,75,14,9,5,male_Copd
78,male,0.0025993727923915907,0.011616331737983232,0.2848359642023137,0.016300181135656733,3332,Copd,0,50,75,14,9,5,male_Copd
79,male,0.0025993727923915907,0.011616331737983232,0.2848359642023137,0.016300181135656733,3332,Copd,0,50,75,14,9,5,male_Copd
80,male,0.004836587467081918,0.011890638909513874,0.33092976585599143,0.018759517756223285,2291,Copd,0,20,80,7,11,5,male_Copd
81,male,0.004836587467081918,0.011890638909513874,0.33092976585599143,0.018759517756223285,2291,Copd,0,20,80,7,11,5,male_Copd
82,male,0.004836587467081918,0.011890638909513874,0.33092976585599143,0.018759517756223285,2291,Copd,0,20,80,7,11,5,male_Copd
83,male,0.004836587467081918,0.011890638909513874,0.33092976585599143,0.018759517756223285,2291,Copd,0,20,80,7,11,5,male_Copd
84,male,0.004836587467081918,0.011890638909513874,0.33092976585599143,0.018759517756223285,2291,Copd,0,20,80,7,11,5,male_Copd
85,male,0.00941766096946902,0.013892441690881314,0.37387251268903404,0.02068335692215841,1276,Copd,0,20,85,7,12,5,male_Copd
86,male,0.00941766096946902,0.013892441690881314,0.37387251268903404,0.02068335692215841,1276,Copd,0,20,85,7,12,5,male_Copd
87,male,0.00941766096946902,0.013892441690881314,0.37387251268903404,0.02068335692215841,1276,Copd,0,20,85,7,12,5,male_Copd
88,male,0.00941766096946902,0.013892441690881314,0.37387251268903404,0.02068335692215841,1276,Copd,0,20,85,7,12,5,male_Copd
89,male,0.00941766096946902,0.013892441690881314,0.37387251268903404,0.02068335692215841,1276,Copd,0,20,85,7,12,5,male_Copd
90,male,0.013825417412156867,0.020673487489539767,0.4235900432860606,0.022866599889730013,506,Copd,0,10,90,4,7,5,male_Copd
91,male,0.013825417412156867,0.020673487489539767,0.4235900432860606,0.022866599889730013,506,Copd,0,10,90,4,7,5,male_Copd
92,male,0.013825417412156867,0.020673487489539767,0.4235900432860606,0.022866599889730013,506,Copd,0,10,90,4,7,5,male_Copd
93,male,0.013825417412156867,0.020673487489539767,0.4235900432860606,0.022866599889730013,506,Copd,0,10,90,4,7,5,male_Copd
94,male,0.013825417412156867,0.020673487489539767,0.4235900432860606,0.022866599889730013,506,Copd,0,10,90,4,7,5,male_Copd
95,male,0.02135531503093474,0.028290602424887536,0.5008375996260858,0.026344711733717073,91,Copd,0,10,95,5,2,6,male_Copd
96,male,0.02135531503093474,0.028290602424887536,0.5008375996260858,0.026344711733717073,91,Copd,0,10,95,5,2,6,male_Copd
97,male,0.02135531503093474,0.028290602424887536,0.5008375996260858,0.026344711733717073,91,Copd,0,10,95,5,2,6,male_Copd
98,male,0.02135531503093474,0.028290602424887536,0.5008375996260858,0.026344711733717073,91,Copd,0,10,95,5,2,6,male_Copd
99,male,0.02135531503093474,0.028290602424887536,0.5008375996260858,0.026344711733717073,91,Copd,0,10,95,5,2,6,male_Copd
100,male,0.02135531503093474,0.028290602424887536,0.5008375996260858,0.026344711733717073,91,Copd,0,10,95,5,2,6,male_Copd
