age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_copd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,3.945371882623507e-7,1.1165200377758035e-4,3.352306575643052e-4,2.1841923955385627e-5,6980,Copd,0,10,0,0,0,5,male_Copd
1,male,3.945371882623507e-7,1.1165200377758035e-4,3.352306575643052e-4,2.1841923955385627e-5,6980,Copd,0,10,0,0,0,5,male_Copd
2,male,3.945371882623507e-7,1.1165200377758035e-4,3.352306575643052e-4,2.1841923955385627e-5,6980,Copd,0,10,0,0,0,5,male_Copd
3,male,3.945371882623507e-7,1.1165200377758035e-4,3.352306575643052e-4,2.1841923955385627e-5,6980,Copd,0,10,0,0,0,5,male_Copd
4,male,3.945371882623507e-7,1.1165200377758035e-4,3.352306575643052e-4,2.1841923955385627e-5,6980,Copd,0,10,0,0,0,5,male_Copd
5,male,1.3554395778292215e-7,1.4212409303872197e-4,0.0010536226002272491,6.708765942027137e-5,6917,Copd,0,10,5,0,0,5,male_Copd
6,male,1.3554395778292215e-7,1.4212409303872197e-4,0.0010536226002272491,6.708765942027137e-5,6917,Copd,0,10,5,0,0,5,male_Copd
7,male,1.3554395778292215e-7,1.4212409303872197e-4,0.0010536226002272491,6.708765942027137e-5,6917,Copd,0,10,5,0,0,5,male_Copd
8,male,1.3554395778292215e-7,1.4212409303872197e-4,0.0010536226002272491,6.708765942027137e-5,6917,Copd,0,10,5,0,0,5,male_Copd
9,male,1.3554395778292215e-7,1.4212409303872197e-4,0.0010536226002272491,6.708765942027137e-5,6917,Copd,0,10,5,0,0,5,male_Copd
10,male,1.3478175044651195e-7,2.6419606556344835e-4,0.0019726244137734284,1.23217658551801e-4,6234,Copd,0,50,10,0,0,5,male_Copd
11,male,1.3478175044651195e-7,2.6419606556344835e-4,0.0019726244137734284,1.23217658551801e-4,6234,Copd,0,50,10,0,0,5,male_Copd
12,male,1.3478175044651195e-7,2.6419606556344835e-4,0.0019726244137734284,1.23217658551801e-4,6234,Copd,0,50,10,0,0,5,male_Copd
13,male,1.3478175044651195e-7,2.6419606556344835e-4,0.0019726244137734284,1.23217658551801e-4,6234,Copd,0,50,10,0,0,5,male_Copd
14,male,1.3478175044651195e-7,2.6419606556344835e-4,0.0019726244137734284,1.23217658551801e-4,6234,Copd,0,50,10,0,0,5,male_Copd
15,male,3.52631830019182e-7,5.048336544745917e-4,0.0038937981484206663,2.380859340122796e-4,6436,Copd,0,50,15,0,0,5,male_Copd
16,male,3.52631830019182e-7,5.048336544745917e-4,0.0038937981484206663,2.380859340122796e-4,6436,Copd,0,50,15,0,0,5,male_Copd
17,male,3.52631830019182e-7,5.048336544745917e-4,0.0038937981484206663,2.380859340122796e-4,6436,Copd,0,50,15,0,0,5,male_Copd
18,male,3.52631830019182e-7,5.048336544745917e-4,0.0038937981484206663,2.380859340122796e-4,6436,Copd,0,50,15,0,0,5,male_Copd
19,male,3.52631830019182e-7,5.048336544745917e-4,0.0038937981484206663,2.380859340122796e-4,6436,Copd,0,50,15,0,0,5,male_Copd
20,male,5.406971752445852e-7,7.505327018837078e-4,0.007036190450594327,4.2359881806816135e-4,7845,Copd,0,50,20,0,0,5,male_Copd
21,male,5.406971752445852e-7,7.505327018837078e-4,0.007036190450594327,4.2359881806816135e-4,7845,Copd,0,50,20,0,0,5,male_Copd
22,male,5.406971752445852e-7,7.505327018837078e-4,0.007036190450594327,4.2359881806816135e-4,7845,Copd,0,50,20,0,0,5,male_Copd
23,male,5.406971752445852e-7,7.505327018837078e-4,0.007036190450594327,4.2359881806816135e-4,7845,Copd,0,50,20,0,0,5,male_Copd
24,male,5.406971752445852e-7,7.505327018837078e-4,0.007036190450594327,4.2359881806816135e-4,7845,Copd,0,50,20,0,0,5,male_Copd
25,male,6.829211008525231e-7,0.0010007854735306944,0.01143343168813162,6.783686892520515e-4,9023,Copd,0,50,25,1,0,5,male_Copd
26,male,6.829211008525231e-7,0.0010007854735306944,0.01143343168813162,6.783686892520515e-4,9023,Copd,0,50,25,1,0,5,male_Copd
27,male,6.829211008525231e-7,0.0010007854735306944,0.01143343168813162,6.783686892520515e-4,9023,Copd,0,50,25,1,0,5,male_Copd
28,male,6.829211008525231e-7,0.0010007854735306944,0.01143343168813162,6.783686892520515e-4,9023,Copd,0,50,25,1,0,5,male_Copd
29,male,6.829211008525231e-7,0.0010007854735306944,0.01143343168813162,6.783686892520515e-4,9023,Copd,0,50,25,1,0,5,male_Copd
30,male,1.2065267172606738e-6,0.0013322415312377709,0.017177408418521542,0.0010087034408478139,8448,Copd,0,50,30,1,0,5,male_Copd
31,male,1.2065267172606738e-6,0.0013322415312377709,0.017177408418521542,0.0010087034408478139,8448,Copd,0,50,30,1,0,5,male_Copd
32,male,1.2065267172606738e-6,0.0013322415312377709,0.017177408418521542,0.0010087034408478139,8448,Copd,0,50,30,1,0,5,male_Copd
33,male,1.2065267172606738e-6,0.0013322415312377709,0.017177408418521542,0.0010087034408478139,8448,Copd,0,50,30,1,0,5,male_Copd
34,male,1.2065267172606738e-6,0.0013322415312377709,0.017177408418521542,0.0010087034408478139,8448,Copd,0,50,30,1,0,5,male_Copd
