age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_crdd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,8.325840780160657e-6,3.069264505494289e-4,1.9706168545276603e-4,6.315009276660286e-5,6598,Crdd,0,10,0,0,0,5,female_Crdd
1,female,8.325840780160657e-6,3.069264505494289e-4,1.9706168545276603e-4,6.315009276660286e-5,6598,Crdd,0,10,0,0,0,5,female_Crdd
2,female,8.325840780160657e-6,3.069264505494289e-4,1.9706168545276603e-4,6.315009276660286e-5,6598,Crdd,0,10,0,0,0,5,female_Crdd
3,female,8.325840780160657e-6,3.069264505494289e-4,1.9706168545276603e-4,6.315009276660286e-5,6598,Crdd,0,10,0,0,0,5,female_Crdd
4,female,8.325840780160657e-6,3.069264505494289e-4,1.9706168545276603e-4,6.315009276660286e-5,6598,Crdd,0,10,0,0,0,5,female_Crdd
5,female,1.553207243799155e-6,2.6714534181908e-4,2.0826554450222235e-4,1.2093176018351317e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
6,female,1.553207243799155e-6,2.6714534181908e-4,2.0826554450222235e-4,1.2093176018351317e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
7,female,1.553207243799155e-6,2.6714534181908e-4,2.0826554450222235e-4,1.2093176018351317e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
8,female,1.553207243799155e-6,2.6714534181908e-4,2.0826554450222235e-4,1.2093176018351317e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
9,female,1.553207243799155e-6,2.6714534181908e-4,2.0826554450222235e-4,1.2093176018351317e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
10,female,2.494843289861546e-6,2.3540189407796996e-4,0.0013348334401265954,2.208327673638208e-4,6051,Crdd,0,50,10,0,0,5,female_Crdd
11,female,2.494843289861546e-6,2.3540189407796996e-4,0.0013348334401265954,2.208327673638208e-4,6051,Crdd,0,50,10,0,0,5,female_Crdd
12,female,2.494843289861546e-6,2.3540189407796996e-4,0.0013348334401265954,2.208327673638208e-4,6051,Crdd,0,50,10,0,0,5,female_Crdd
13,female,2.494843289861546e-6,2.3540189407796996e-4,0.0013348334401265954,2.208327673638208e-4,6051,Crdd,0,50,10,0,0,5,female_Crdd
14,female,2.494843289861546e-6,2.3540189407796996e-4,0.0013348334401265954,2.208327673638208e-4,6051,Crdd,0,50,10,0,0,5,female_Crdd
15,female,9.657138681113028e-6,3.1083562545832367e-4,0.006538927403519333,5.37621795783058e-4,6338,Crdd,0,50,15,0,0,5,female_Crdd
16,female,9.657138681113028e-6,3.1083562545832367e-4,0.006538927403519333,5.37621795783058e-4,6338,Crdd,0,50,15,0,0,5,female_Crdd
17,female,9.657138681113028e-6,3.1083562545832367e-4,0.006538927403519333,5.37621795783058e-4,6338,Crdd,0,50,15,0,0,5,female_Crdd
18,female,9.657138681113028e-6,3.1083562545832367e-4,0.006538927403519333,5.37621795783058e-4,6338,Crdd,0,50,15,0,0,5,female_Crdd
19,female,9.657138681113028e-6,3.1083562545832367e-4,0.006538927403519333,5.37621795783058e-4,6338,Crdd,0,50,15,0,0,5,female_Crdd
20,female,1.3557112059453252e-5,5.614293959817398e-4,0.008195010944030655,6.728240862689446e-4,7828,Crdd,0,50,20,0,0,5,female_Crdd
21,female,1.3557112059453252e-5,5.614293959817398e-4,0.008195010944030655,6.728240862689446e-4,7828,Crdd,0,50,20,0,0,5,female_Crdd
22,female,1.3557112059453252e-5,5.614293959817398e-4,0.008195010944030655,6.728240862689446e-4,7828,Crdd,0,50,20,0,0,5,female_Crdd
23,female,1.3557112059453252e-5,5.614293959817398e-4,0.008195010944030655,6.728240862689446e-4,7828,Crdd,0,50,20,0,0,5,female_Crdd
24,female,1.3557112059453252e-5,5.614293959817398e-4,0.008195010944030655,6.728240862689446e-4,7828,Crdd,0,50,20,0,0,5,female_Crdd
25,female,1.883261251050492e-5,0.0010022347148908677,0.015088043247357968,0.00108369091728571,8833,Crdd,0,50,25,1,0,5,female_Crdd
26,female,1.883261251050492e-5,0.0010022347148908677,0.015088043247357968,0.00108369091728571,8833,Crdd,0,50,25,1,0,5,female_Crdd
27,female,1.883261251050492e-5,0.0010022347148908677,0.015088043247357968,0.00108369091728571,8833,Crdd,0,50,25,1,0,5,female_Crdd
28,female,1.883261251050492e-5,0.0010022347148908677,0.015088043247357968,0.00108369091728571,8833,Crdd,0,50,25,1,0,5,female_Crdd
29,female,1.883261251050492e-5,0.0010022347148908677,0.015088043247357968,0.00108369091728571,8833,Crdd,0,50,25,1,0,5,female_Crdd
30,female,3.2470679296730885e-5,0.0017767529084283093,0.018509565223407017,0.0012861777538748583,7963,Crdd,0,50,30,1,0,5,female_Crdd
31,female,3.2470679296730885e-5,0.0017767529084283093,0.018509565223407017,0.0012861777538748583,7963,Crdd,0,50,30,1,0,5,female_Crdd
32,female,3.2470679296730885e-5,0.0017767529084283093,0.018509565223407017,0.0012861777538748583,7963,Crdd,0,50,30,1,0,5,female_Crdd
33,female,3.2470679296730885e-5,0.0017767529084283093,0.018509565223407017,0.0012861777538748583,7963,Crdd,0,50,30,1,0,5,female_Crdd
34,female,3.2470679296730885e-5,0.0017767529084283093,0.018509565223407017,0.0012861777538748583,7963,Crdd,0,50,30,1,0,5,female_Crdd
35,female,6.314759840767e-5,0.0028718900976401566,0.01930588086157895,0.0013257574875433825,7482,Crdd,0,50,35,1,0,5,female_Crdd
36,female,6.314759840767e-5,0.0028718900976401566,0.01930588086157895,0.0013257574875433825,7482,Crdd,0,50,35,1,0,5,female_Crdd
37,female,6.314759840767e-5,0.0028718900976401566,0.01930588086157895,0.0013257574875433825,7482,Crdd,0,50,35,1,0,5,female_Crdd
38,female,6.314759840767e-5,0.0028718900976401566,0.01930588086157895,0.0013257574875433825,7482,Crdd,0,50,35,1,0,5,female_Crdd
39,female,6.314759840767e-5,0.0028718900976401566,0.01930588086157895,0.0013257574875433825,7482,Crdd,0,50,35,1,0,5,female_Crdd
40,female,1.0798357466517742e-4,0.005940486613886814,0.04306566225284482,0.0020835869760870433,6901,Crdd,0,50,40,2,1,5,female_Crdd
41,female,1.0798357466517742e-4,0.005940486613886814,0.04306566225284482,0.0020835869760870433,6901,Crdd,0,50,40,2,1,5,female_Crdd
42,female,1.0798357466517742e-4,0.005940486613886814,0.04306566225284482,0.0020835869760870433,6901,Crdd,0,50,40,2,1,5,female_Crdd
43,female,1.0798357466517742e-4,0.005940486613886814,0.04306566225284482,0.0020835869760870433,6901,Crdd,0,50,40,2,1,5,female_Crdd
44,female,1.0798357466517742e-4,0.005940486613886814,0.04306566225284482,0.0020835869760870433,6901,Crdd,0,50,40,2,1,5,female_Crdd
45,female,2.0006182335999997e-4,0.007324447960589644,0.05852682879438931,0.0028349933573557735,7531,Crdd,0,50,45,3,2,5,female_Crdd
46,female,2.0006182335999997e-4,0.007324447960589644,0.05852682879438931,0.0028349933573557735,7531,Crdd,0,50,45,3,2,5,female_Crdd
47,female,2.0006182335999997e-4,0.007324447960589644,0.05852682879438931,0.0028349933573557735,7531,Crdd,0,50,45,3,2,5,female_Crdd
48,female,2.0006182335999997e-4,0.007324447960589644,0.05852682879438931,0.0028349933573557735,7531,Crdd,0,50,45,3,2,5,female_Crdd
49,female,2.0006182335999997e-4,0.007324447960589644,0.05852682879438931,0.0028349933573557735,7531,Crdd,0,50,45,3,2,5,female_Crdd
50,female,3.0628005283854563e-4,0.009942999158794949,0.07583974788811719,0.0037805837061516442,7629,Crdd,0,50,50,4,2,5,female_Crdd
51,female,3.0628005283854563e-4,0.009942999158794949,0.07583974788811719,0.0037805837061516442,7629,Crdd,0,50,50,4,2,5,female_Crdd
52,female,3.0628005283854563e-4,0.009942999158794949,0.07583974788811719,0.0037805837061516442,7629,Crdd,0,50,50,4,2,5,female_Crdd
53,female,3.0628005283854563e-4,0.009942999158794949,0.07583974788811719,0.0037805837061516442,7629,Crdd,0,50,50,4,2,5,female_Crdd
54,female,3.0628005283854563e-4,0.009942999158794949,0.07583974788811719,0.0037805837061516442,7629,Crdd,0,50,50,4,2,5,female_Crdd
55,female,5.065471329580818e-4,0.014698417474139046,0.10657043325515575,0.005491414214637356,6580,Crdd,0,50,55,5,3,5,female_Crdd
56,female,5.065471329580818e-4,0.014698417474139046,0.10657043325515575,0.005491414214637356,6580,Crdd,0,50,55,5,3,5,female_Crdd
57,female,5.065471329580818e-4,0.014698417474139046,0.10657043325515575,0.005491414214637356,6580,Crdd,0,50,55,5,3,5,female_Crdd
58,female,5.065471329580818e-4,0.014698417474139046,0.10657043325515575,0.005491414214637356,6580,Crdd,0,50,55,5,3,5,female_Crdd
