age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_bc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,bc,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,bc,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,bc,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,bc,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,bc,0,10,0,0,0,5
5,female,0,1e-8,0,0,6603,bc,0,10,5,0,0,5
6,female,0,1e-8,0,0,6603,bc,0,10,5,0,0,5
7,female,0,1e-8,0,0,6603,bc,0,10,5,0,0,5
8,female,0,1e-8,0,0,6603,bc,0,10,5,0,0,5
9,female,0,1e-8,0,0,6603,bc,0,10,5,0,0,5
10,female,0,1e-8,0,0,6051,bc,0,50,10,0,0,5
11,female,0,1e-8,0,0,6051,bc,0,50,10,0,0,5
12,female,0,1e-8,0,0,6051,bc,0,50,10,0,0,5
13,female,0,1e-8,0,0,6051,bc,0,50,10,0,0,5
14,female,0,1e-8,0,0,6051,bc,0,50,10,0,0,5
15,female,3.5073337844342265e-5,3.657598858932506e-6,2.6050639885241526e-7,2.919312695805839e-6,6338,bc,0,50,15,0,0,5
16,female,3.5073337844342265e-5,3.657598858932506e-6,2.6050639885241526e-7,2.919312695805839e-6,6338,bc,0,50,15,0,0,5
17,female,3.5073337844342265e-5,3.657598858932506e-6,2.6050639885241526e-7,2.919312695805839e-6,6338,bc,0,50,15,0,0,5
18,female,3.5073337844342265e-5,3.657598858932506e-6,2.6050639885241526e-7,2.919312695805839e-6,6338,bc,0,50,15,0,0,5
19,female,3.5073337844342265e-5,3.657598858932506e-6,2.6050639885241526e-7,2.919312695805839e-6,6338,bc,0,50,15,0,0,5
20,female,1.5784634701590736e-4,1.6347686083541607e-5,9.895024322378921e-7,1.3127070805796268e-5,7828,bc,0,50,20,0,0,5
21,female,1.5784634701590736e-4,1.6347686083541607e-5,9.895024322378921e-7,1.3127070805796268e-5,7828,bc,0,50,20,0,0,5
22,female,1.5784634701590736e-4,1.6347686083541607e-5,9.895024322378921e-7,1.3127070805796268e-5,7828,bc,0,50,20,0,0,5
23,female,1.5784634701590736e-4,1.6347686083541607e-5,9.895024322378921e-7,1.3127070805796268e-5,7828,bc,0,50,20,0,0,5
24,female,1.5784634701590736e-4,1.6347686083541607e-5,9.895024322378921e-7,1.3127070805796268e-5,7828,bc,0,50,20,0,0,5
25,female,0.0012569201458397243,1.4208575355323903e-4,7.539530046581111e-6,1.0750499125558634e-4,8833,bc,0,50,25,0,0,5
26,female,0.0012569201458397243,1.4208575355323903e-4,7.539530046581111e-6,1.0750499125558634e-4,8833,bc,0,50,25,0,0,5
27,female,0.0012569201458397243,1.4208575355323903e-4,7.539530046581111e-6,1.0750499125558634e-4,8833,bc,0,50,25,0,0,5
28,female,0.0012569201458397243,1.4208575355323903e-4,7.539530046581111e-6,1.0750499125558634e-4,8833,bc,0,50,25,0,0,5
29,female,0.0012569201458397243,1.4208575355323903e-4,7.539530046581111e-6,1.0750499125558634e-4,8833,bc,0,50,25,0,0,5
30,female,0.003021512967166171,3.458723179481954e-4,2.8418312060231996e-5,2.519100129267192e-4,7963,bc,0,50,30,0,0,5
31,female,0.003021512967166171,3.458723179481954e-4,2.8418312060231996e-5,2.519100129267192e-4,7963,bc,0,50,30,0,0,5
32,female,0.003021512967166171,3.458723179481954e-4,2.8418312060231996e-5,2.519100129267192e-4,7963,bc,0,50,30,0,0,5
33,female,0.003021512967166171,3.458723179481954e-4,2.8418312060231996e-5,2.519100129267192e-4,7963,bc,0,50,30,0,0,5
34,female,0.003021512967166171,3.458723179481954e-4,2.8418312060231996e-5,2.519100129267192e-4,7963,bc,0,50,30,0,0,5
35,female,0.0070287670093699545,8.013836287257536e-4,7.920919764354086e-5,5.712772566593972e-4,7482,bc,0,50,35,0,1,5
36,female,0.0070287670093699545,8.013836287257536e-4,7.920919764354086e-5,5.712772566593972e-4,7482,bc,0,50,35,0,1,5
37,female,0.0070287670093699545,8.013836287257536e-4,7.920919764354086e-5,5.712772566593972e-4,7482,bc,0,50,35,0,1,5
38,female,0.0070287670093699545,8.013836287257536e-4,7.920919764354086e-5,5.712772566593972e-4,7482,bc,0,50,35,0,1,5
39,female,0.0070287670093699545,8.013836287257536e-4,7.920919764354086e-5,5.712772566593972e-4,7482,bc,0,50,35,0,1,5
40,female,0.012155276704711357,0.0013678088708062735,1.4208567036600185e-4,9.724542512150198e-4,6901,bc,0,50,40,1,1,5
41,female,0.012155276704711357,0.0013678088708062735,1.4208567036600185e-4,9.724542512150198e-4,6901,bc,0,50,40,1,1,5
42,female,0.012155276704711357,0.0013678088708062735,1.4208567036600185e-4,9.724542512150198e-4,6901,bc,0,50,40,1,1,5
43,female,0.012155276704711357,0.0013678088708062735,1.4208567036600185e-4,9.724542512150198e-4,6901,bc,0,50,40,1,1,5
44,female,0.012155276704711357,0.0013678088708062735,1.4208567036600185e-4,9.724542512150198e-4,6901,bc,0,50,40,1,1,5
45,female,0.020615755266753605,0.002288285936072489,2.6351924822069e-4,0.001642703895021674,7531,bc,0,50,45,1,2,5
46,female,0.020615755266753605,0.002288285936072489,2.6351924822069e-4,0.001642703895021674,7531,bc,0,50,45,1,2,5
47,female,0.020615755266753605,0.002288285936072489,2.6351924822069e-4,0.001642703895021674,7531,bc,0,50,45,1,2,5
48,female,0.020615755266753605,0.002288285936072489,2.6351924822069e-4,0.001642703895021674,7531,bc,0,50,45,1,2,5
49,female,0.020615755266753605,0.002288285936072489,2.6351924822069e-4,0.001642703895021674,7531,bc,0,50,45,1,2,5
50,female,0.02436923568517271,0.0026356793969903127,3.7026062313244286e-4,0.0019030885309279787,7629,bc,0,50,50,1,3,5
