age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_bc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
51,female,0.02436923568517271,0.0026356793969903127,3.7026062313244286e-4,0.0019030885309279787,7629,bc,0,50,50,1,3,5
52,female,0.02436923568517271,0.0026356793969903127,3.7026062313244286e-4,0.0019030885309279787,7629,bc,0,50,50,1,3,5
53,female,0.02436923568517271,0.0026356793969903127,3.7026062313244286e-4,0.0019030885309279787,7629,bc,0,50,50,1,3,5
54,female,0.02436923568517271,0.0026356793969903127,3.7026062313244286e-4,0.0019030885309279787,7629,bc,0,50,50,1,3,5
55,female,0.027532998298659087,0.002837454334790418,4.675763102726748e-4,0.002091744064294697,6580,bc,0,50,55,1,3,5
56,female,0.027532998298659087,0.002837454334790418,4.675763102726748e-4,0.002091744064294697,6580,bc,0,50,55,1,3,5
57,female,0.027532998298659087,0.002837454334790418,4.675763102726748e-4,0.002091744064294697,6580,bc,0,50,55,1,3,5
58,female,0.027532998298659087,0.002837454334790418,4.675763102726748e-4,0.002091744064294697,6580,bc,0,50,55,1,3,5
59,female,0.027532998298659087,0.002837454334790418,4.675763102726748e-4,0.002091744064294697,6580,bc,0,50,55,1,3,5
60,female,0.0354238486260083,0.0035823132208152465,6.081035207767345e-4,0.0026816415007565432,5725,bc,0,50,60,2,3,5
61,female,0.0354238486260083,0.0035823132208152465,6.081035207767345e-4,0.0026816415007565432,5725,bc,0,50,60,2,3,5
62,female,0.0354238486260083,0.0035823132208152465,6.081035207767345e-4,0.0026816415007565432,5725,bc,0,50,60,2,3,5
63,female,0.0354238486260083,0.0035823132208152465,6.081035207767345e-4,0.0026816415007565432,5725,bc,0,50,60,2,3,5
64,female,0.0354238486260083,0.0035823132208152465,6.081035207767345e-4,0.0026816415007565432,5725,bc,0,50,60,2,3,5
65,female,0.04028762969683191,0.004090824133809691,7.910375738547189e-4,0.003041949228820922,5670,bc,0,50,65,2,4,5
66,female,0.04028762969683191,0.004090824133809691,7.910375738547189e-4,0.003041949228820922,5670,bc,0,50,65,2,4,5
67,female,0.04028762969683191,0.004090824133809691,7.910375738547189e-4,0.003041949228820922,5670,bc,0,50,65,2,4,5
68,female,0.04028762969683191,0.004090824133809691,7.910375738547189e-4,0.003041949228820922,5670,bc,0,50,65,2,4,5
69,female,0.04028762969683191,0.004090824133809691,7.910375738547189e-4,0.003041949228820922,5670,bc,0,50,65,2,4,5
70,female,0.04020022618416878,0.004113580290788434,9.86724652481629e-4,0.003040862817970551,5104,bc,0,50,70,2,5,5
71,female,0.04020022618416878,0.004113580290788434,9.86724652481629e-4,0.003040862817970551,5104,bc,0,50,70,2,5,5
72,female,0.04020022618416878,0.004113580290788434,9.86724652481629e-4,0.003040862817970551,5104,bc,0,50,70,2,5,5
73,female,0.04020022618416878,0.004113580290788434,9.86724652481629e-4,0.003040862817970551,5104,bc,0,50,70,2,5,5
74,female,0.04020022618416878,0.004113580290788434,9.86724652481629e-4,0.003040862817970551,5104,bc,0,50,70,2,5,5
75,female,0.04453938426970333,0.004799852752812629,0.0014063064721362654,0.0035098788892845545,3792,bc,0,50,75,2,5,5
76,female,0.04453938426970333,0.004799852752812629,0.0014063064721362654,0.0035098788892845545,3792,bc,0,50,75,2,5,5
77,female,0.04453938426970333,0.004799852752812629,0.0014063064721362654,0.0035098788892845545,3792,bc,0,50,75,2,5,5
78,female,0.04453938426970333,0.004799852752812629,0.0014063064721362654,0.0035098788892845545,3792,bc,0,50,75,2,5,5
79,female,0.04453938426970333,0.004799852752812629,0.0014063064721362654,0.0035098788892845545,3792,bc,0,50,75,2,5,5
80,female,0.0402285699667497,0.00470453865742669,0.0020024152471368947,0.003283701367251833,2983,bc,0,20,80,1,6,5
81,female,0.0402285699667497,0.00470453865742669,0.0020024152471368947,0.003283701367251833,2983,bc,0,20,80,1,6,5
82,female,0.0402285699667497,0.00470453865742669,0.0020024152471368947,0.003283701367251833,2983,bc,0,20,80,1,6,5
83,female,0.0402285699667497,0.00470453865742669,0.0020024152471368947,0.003283701367251833,2983,bc,0,20,80,1,6,5
84,female,0.0402285699667497,0.00470453865742669,0.0020024152471368947,0.003283701367251833,2983,bc,0,20,80,1,6,5
85,female,0.053877696160918906,0.00788384499072814,0.003355681450307907,0.005153992591877375,2001,bc,0,20,85,1,7,5
86,female,0.053877696160918906,0.00788384499072814,0.003355681450307907,0.005153992591877375,2001,bc,0,20,85,1,7,5
87,female,0.053877696160918906,0.00788384499072814,0.003355681450307907,0.005153992591877375,2001,bc,0,20,85,1,7,5
88,female,0.053877696160918906,0.00788384499072814,0.003355681450307907,0.005153992591877375,2001,bc,0,20,85,1,7,5
89,female,0.053877696160918906,0.00788384499072814,0.003355681450307907,0.005153992591877375,2001,bc,0,20,85,1,7,5
90,female,0.059468664574634816,0.010776656556099197,0.004592727971447419,0.006565283738370208,1019,bc,0,10,90,1,5,5
91,female,0.059468664574634816,0.010776656556099197,0.004592727971447419,0.006565283738370208,1019,bc,0,10,90,1,5,5
92,female,0.059468664574634816,0.010776656556099197,0.004592727971447419,0.006565283738370208,1019,bc,0,10,90,1,5,5
93,female,0.059468664574634816,0.010776656556099197,0.004592727971447419,0.006565283738370208,1019,bc,0,10,90,1,5,5
94,female,0.059468664574634816,0.010776656556099197,0.004592727971447419,0.006565283738370208,1019,bc,0,10,90,1,5,5
95,female,0.036995005305894044,0.015485125965396388,0.006605818886695974,0.004608012486801644,275,bc,0,10,95,0,2,6
96,female,0.036995005305894044,0.015485125965396388,0.006605818886695974,0.004608012486801644,275,bc,0,10,95,0,2,6
97,female,0.036995005305894044,0.015485125965396388,0.006605818886695974,0.004608012486801644,275,bc,0,10,95,0,2,6
98,female,0.036995005305894044,0.015485125965396388,0.006605818886695974,0.004608012486801644,275,bc,0,10,95,0,2,6
99,female,0.036995005305894044,0.015485125965396388,0.006605818886695974,0.004608012486801644,275,bc,0,10,95,0,2,6
100,female,0.036995005305894044,0.015485125965396388,0.006605818886695974,0.004608012486801644,275,bc,0,10,95,0,2,6
