age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_stmc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
1,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
2,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
3,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
4,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
5,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
6,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
7,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
8,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
9,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
10,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
11,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
12,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
13,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
14,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
15,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
16,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
17,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
18,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
19,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
20,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
21,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
22,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
23,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
24,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
25,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
26,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
27,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
28,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
29,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
30,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
31,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
32,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
33,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
34,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
35,female,6.277287421220051e-6,1.792901345243239e-5,6.361681859020157e-5,6.556894004515664e-6,7482,Stmc,0,50,35,0,0,5,female_Stmc
36,female,6.277287421220051e-6,1.792901345243239e-5,6.361681859020157e-5,6.556894004515664e-6,7482,Stmc,0,50,35,0,0,5,female_Stmc
37,female,6.277287421220051e-6,1.792901345243239e-5,6.361681859020157e-5,6.556894004515664e-6,7482,Stmc,0,50,35,0,0,5,female_Stmc
