age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_carc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
48,female,5.891657047408581e-5,2.5691152141112475e-4,0.0018060507041151692,1.536954940003819e-4,7531,Carc,0,50,45,0,0,5,female_Carc
49,female,5.891657047408581e-5,2.5691152141112475e-4,0.0018060507041151692,1.536954940003819e-4,7531,Carc,0,50,45,0,0,5,female_Carc
50,female,1.0247384547241265e-4,4.2645689676085706e-4,0.0029831497272756065,2.469749402574673e-4,7629,Carc,0,50,50,0,1,5,female_Carc
51,female,1.0247384547241265e-4,4.2645689676085706e-4,0.0029831497272756065,2.469749402574673e-4,7629,Carc,0,50,50,0,1,5,female_Carc
52,female,1.0247384547241265e-4,4.2645689676085706e-4,0.0029831497272756065,2.469749402574673e-4,7629,Carc,0,50,50,0,1,5,female_Carc
53,female,1.0247384547241265e-4,4.2645689676085706e-4,0.0029831497272756065,2.469749402574673e-4,7629,Carc,0,50,50,0,1,5,female_Carc
54,female,1.0247384547241265e-4,4.2645689676085706e-4,0.0029831497272756065,2.469749402574673e-4,7629,Carc,0,50,50,0,1,5,female_Carc
55,female,1.7069625063851135e-4,6.738853257659052e-4,0.004655937796966439,3.853379104580841e-4,6580,Carc,0,50,55,0,1,5,female_Carc
56,female,1.7069625063851135e-4,6.738853257659052e-4,0.004655937796966439,3.853379104580841e-4,6580,Carc,0,50,55,0,1,5,female_Carc
57,female,1.7069625063851135e-4,6.738853257659052e-4,0.004655937796966439,3.853379104580841e-4,6580,Carc,0,50,55,0,1,5,female_Carc
58,female,1.7069625063851135e-4,6.738853257659052e-4,0.004655937796966439,3.853379104580841e-4,6580,Carc,0,50,55,0,1,5,female_Carc
59,female,1.7069625063851135e-4,6.738853257659052e-4,0.004655937796966439,3.853379104580841e-4,6580,Carc,0,50,55,0,1,5,female_Carc
60,female,2.809840894138061e-4,0.001021900372390496,0.00689677798856378,5.723716843147729e-4,5725,Carc,0,50,60,0,2,5,female_Carc
61,female,2.809840894138061e-4,0.001021900372390496,0.00689677798856378,5.723716843147729e-4,5725,Carc,0,50,60,0,2,5,female_Carc
62,female,2.809840894138061e-4,0.001021900372390496,0.00689677798856378,5.723716843147729e-4,5725,Carc,0,50,60,0,2,5,female_Carc
63,female,2.809840894138061e-4,0.001021900372390496,0.00689677798856378,5.723716843147729e-4,5725,Carc,0,50,60,0,2,5,female_Carc
64,female,2.809840894138061e-4,0.001021900372390496,0.00689677798856378,5.723716843147729e-4,5725,Carc,0,50,60,0,2,5,female_Carc
65,female,4.449243382098171e-4,0.001571792008215185,0.010430718212649341,8.688122880657211e-4,5670,Carc,0,50,65,1,3,5,female_Carc
