age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_lwri,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
29,female,5.422915629623813e-6,0.009922448293060795,2.211499542456598e-4,1.383010452505932e-5,8833,Lwri,0,50,25,0,0,5,female_Lwri
30,female,7.10362901594283e-6,0.010260546492414487,2.2851619796545163e-4,1.4162369036925253e-5,7963,Lwri,0,50,30,0,0,5,female_Lwri
31,female,7.10362901594283e-6,0.010260546492414487,2.2851619796545163e-4,1.4162369036925253e-5,7963,Lwri,0,50,30,0,0,5,female_Lwri
32,female,7.10362901594283e-6,0.010260546492414487,2.2851619796545163e-4,1.4162369036925253e-5,7963,Lwri,0,50,30,0,0,5,female_Lwri
33,female,7.10362901594283e-6,0.010260546492414487,2.2851619796545163e-4,1.4162369036925253e-5,7963,Lwri,0,50,30,0,0,5,female_Lwri
34,female,7.10362901594283e-6,0.010260546492414487,2.2851619796545163e-4,1.4162369036925253e-5,7963,Lwri,0,50,30,0,0,5,female_Lwri
35,female,1.3160039493944083e-5,0.01060936054010957,2.3622280819790394e-4,1.4679408745040305e-5,7482,Lwri,0,50,35,0,0,5,female_Lwri
36,female,1.3160039493944083e-5,0.01060936054010957,2.3622280819790394e-4,1.4679408745040305e-5,7482,Lwri,0,50,35,0,0,5,female_Lwri
37,female,1.3160039493944083e-5,0.01060936054010957,2.3622280819790394e-4,1.4679408745040305e-5,7482,Lwri,0,50,35,0,0,5,female_Lwri
38,female,1.3160039493944083e-5,0.01060936054010957,2.3622280819790394e-4,1.4679408745040305e-5,7482,Lwri,0,50,35,0,0,5,female_Lwri
39,female,1.3160039493944083e-5,0.01060936054010957,2.3622280819790394e-4,1.4679408745040305e-5,7482,Lwri,0,50,35,0,0,5,female_Lwri
40,female,2.0282212190336546e-5,0.010649751034511098,2.3700503155381285e-4,1.4703768932926503e-5,6901,Lwri,0,50,40,0,0,5,female_Lwri
41,female,2.0282212190336546e-5,0.010649751034511098,2.3700503155381285e-4,1.4703768932926503e-5,6901,Lwri,0,50,40,0,0,5,female_Lwri
42,female,2.0282212190336546e-5,0.010649751034511098,2.3700503155381285e-4,1.4703768932926503e-5,6901,Lwri,0,50,40,0,0,5,female_Lwri
43,female,2.0282212190336546e-5,0.010649751034511098,2.3700503155381285e-4,1.4703768932926503e-5,6901,Lwri,0,50,40,0,0,5,female_Lwri
44,female,2.0282212190336546e-5,0.010649751034511098,2.3700503155381285e-4,1.4703768932926503e-5,6901,Lwri,0,50,40,0,0,5,female_Lwri
45,female,3.205073515073283e-5,0.01037281655872251,2.2812201344701795e-4,1.4083478562850229e-5,7531,Lwri,0,50,45,0,0,5,female_Lwri
46,female,3.205073515073283e-5,0.01037281655872251,2.2812201344701795e-4,1.4083478562850229e-5,7531,Lwri,0,50,45,0,0,5,female_Lwri
47,female,3.205073515073283e-5,0.01037281655872251,2.2812201344701795e-4,1.4083478562850229e-5,7531,Lwri,0,50,45,0,0,5,female_Lwri
48,female,3.205073515073283e-5,0.01037281655872251,2.2812201344701795e-4,1.4083478562850229e-5,7531,Lwri,0,50,45,0,0,5,female_Lwri
49,female,3.205073515073283e-5,0.01037281655872251,2.2812201344701795e-4,1.4083478562850229e-5,7531,Lwri,0,50,45,0,0,5,female_Lwri
50,female,5.117668793532503e-5,0.01011433120539947,2.1993874977906398e-4,1.3546377075333294e-5,7629,Lwri,0,50,50,0,0,5,female_Lwri
51,female,5.117668793532503e-5,0.01011433120539947,2.1993874977906398e-4,1.3546377075333294e-5,7629,Lwri,0,50,50,0,0,5,female_Lwri
52,female,5.117668793532503e-5,0.01011433120539947,2.1993874977906398e-4,1.3546377075333294e-5,7629,Lwri,0,50,50,0,0,5,female_Lwri
53,female,5.117668793532503e-5,0.01011433120539947,2.1993874977906398e-4,1.3546377075333294e-5,7629,Lwri,0,50,50,0,0,5,female_Lwri
54,female,5.117668793532503e-5,0.01011433120539947,2.1993874977906398e-4,1.3546377075333294e-5,7629,Lwri,0,50,50,0,0,5,female_Lwri
55,female,7.645630829454057e-5,0.009900606242918423,2.131407516349837e-4,1.3265750040779208e-5,6580,Lwri,0,50,55,0,1,5,female_Lwri
56,female,7.645630829454057e-5,0.009900606242918423,2.131407516349837e-4,1.3265750040779208e-5,6580,Lwri,0,50,55,0,1,5,female_Lwri
57,female,7.645630829454057e-5,0.009900606242918423,2.131407516349837e-4,1.3265750040779208e-5,6580,Lwri,0,50,55,0,1,5,female_Lwri
58,female,7.645630829454057e-5,0.009900606242918423,2.131407516349837e-4,1.3265750040779208e-5,6580,Lwri,0,50,55,0,1,5,female_Lwri
59,female,7.645630829454057e-5,0.009900606242918423,2.131407516349837e-4,1.3265750040779208e-5,6580,Lwri,0,50,55,0,1,5,female_Lwri
60,female,1.403759935675877e-4,0.013896681341181081,2.818494195015193e-4,1.739198142397739e-5,5725,Lwri,0,50,60,0,1,5,female_Lwri
61,female,1.403759935675877e-4,0.013896681341181081,2.818494195015193e-4,1.739198142397739e-5,5725,Lwri,0,50,60,0,1,5,female_Lwri
62,female,1.403759935675877e-4,0.013896681341181081,2.818494195015193e-4,1.739198142397739e-5,5725,Lwri,0,50,60,0,1,5,female_Lwri
63,female,1.403759935675877e-4,0.013896681341181081,2.818494195015193e-4,1.739198142397739e-5,5725,Lwri,0,50,60,0,1,5,female_Lwri
64,female,1.403759935675877e-4,0.013896681341181081,2.818494195015193e-4,1.739198142397739e-5,5725,Lwri,0,50,60,0,1,5,female_Lwri
65,female,2.3901111846778595e-4,0.0219972305768442,4.56785482639449e-4,2.7911579158372916e-5,5670,Lwri,0,50,65,0,1,5,female_Lwri
66,female,2.3901111846778595e-4,0.0219972305768442,4.56785482639449e-4,2.7911579158372916e-5,5670,Lwri,0,50,65,0,1,5,female_Lwri
67,female,2.3901111846778595e-4,0.0219972305768442,4.56785482639449e-4,2.7911579158372916e-5,5670,Lwri,0,50,65,0,1,5,female_Lwri
68,female,2.3901111846778595e-4,0.0219972305768442,4.56785482639449e-4,2.7911579158372916e-5,5670,Lwri,0,50,65,0,1,5,female_Lwri
69,female,2.3901111846778595e-4,0.0219972305768442,4.56785482639449e-4,2.7911579158372916e-5,5670,Lwri,0,50,65,0,1,5,female_Lwri
70,female,5.044673324737706e-4,0.030078142160843823,6.364738090473927e-4,3.770074380875984e-5,5104,Lwri,0,50,70,0,3,5,female_Lwri
71,female,5.044673324737706e-4,0.030078142160843823,6.364738090473927e-4,3.770074380875984e-5,5104,Lwri,0,50,70,0,3,5,female_Lwri
72,female,5.044673324737706e-4,0.030078142160843823,6.364738090473927e-4,3.770074380875984e-5,5104,Lwri,0,50,70,0,3,5,female_Lwri
73,female,5.044673324737706e-4,0.030078142160843823,6.364738090473927e-4,3.770074380875984e-5,5104,Lwri,0,50,70,0,3,5,female_Lwri
74,female,5.044673324737706e-4,0.030078142160843823,6.364738090473927e-4,3.770074380875984e-5,5104,Lwri,0,50,70,0,3,5,female_Lwri
75,female,0.0011848946405605702,0.038287904194650405,8.229700320437289e-4,4.69368869064692e-5,3792,Lwri,0,50,75,0,4,5,female_Lwri
76,female,0.0011848946405605702,0.038287904194650405,8.229700320437289e-4,4.69368869064692e-5,3792,Lwri,0,50,75,0,4,5,female_Lwri
77,female,0.0011848946405605702,0.038287904194650405,8.229700320437289e-4,4.69368869064692e-5,3792,Lwri,0,50,75,0,4,5,female_Lwri
78,female,0.0011848946405605702,0.038287904194650405,8.229700320437289e-4,4.69368869064692e-5,3792,Lwri,0,50,75,0,4,5,female_Lwri
79,female,0.0011848946405605702,0.038287904194650405,8.229700320437289e-4,4.69368869064692e-5,3792,Lwri,0,50,75,0,4,5,female_Lwri
80,female,0.0032135545484483596,0.0756009519611326,0.0015126369461203979,8.400481067235606e-5,2983,Lwri,0,20,80,0,10,5,female_Lwri
81,female,0.0032135545484483596,0.0756009519611326,0.0015126369461203979,8.400481067235606e-5,2983,Lwri,0,20,80,0,10,5,female_Lwri
82,female,0.0032135545484483596,0.0756009519611326,0.0015126369461203979,8.400481067235606e-5,2983,Lwri,0,20,80,0,10,5,female_Lwri
83,female,0.0032135545484483596,0.0756009519611326,0.0015126369461203979,8.400481067235606e-5,2983,Lwri,0,20,80,0,10,5,female_Lwri
84,female,0.0032135545484483596,0.0756009519611326,0.0015126369461203979,8.400481067235606e-5,2983,Lwri,0,20,80,0,10,5,female_Lwri
85,female,0.010439101779698938,0.14205148195171174,0.0028624248677510274,1.556646155806368e-4,2001,Lwri,0,20,85,0,21,5,female_Lwri
86,female,0.010439101779698938,0.14205148195171174,0.0028624248677510274,1.556646155806368e-4,2001,Lwri,0,20,85,0,21,5,female_Lwri
87,female,0.010439101779698938,0.14205148195171174,0.0028624248677510274,1.556646155806368e-4,2001,Lwri,0,20,85,0,21,5,female_Lwri
88,female,0.010439101779698938,0.14205148195171174,0.0028624248677510274,1.556646155806368e-4,2001,Lwri,0,20,85,0,21,5,female_Lwri
89,female,0.010439101779698938,0.14205148195171174,0.0028624248677510274,1.556646155806368e-4,2001,Lwri,0,20,85,0,21,5,female_Lwri
90,female,0.01918668932369866,0.2084654353498855,0.004149574819790354,2.2029410118517103e-4,1019,Lwri,0,10,90,0,19,5,female_Lwri
91,female,0.01918668932369866,0.2084654353498855,0.004149574819790354,2.2029410118517103e-4,1019,Lwri,0,10,90,0,19,5,female_Lwri
92,female,0.01918668932369866,0.2084654353498855,0.004149574819790354,2.2029410118517103e-4,1019,Lwri,0,10,90,0,19,5,female_Lwri
93,female,0.01918668932369866,0.2084654353498855,0.004149574819790354,2.2029410118517103e-4,1019,Lwri,0,10,90,0,19,5,female_Lwri
94,female,0.01918668932369866,0.2084654353498855,0.004149574819790354,2.2029410118517103e-4,1019,Lwri,0,10,90,0,19,5,female_Lwri
95,female,0.039162563270970355,0.2745973399181747,0.005376890113898095,2.8120725878852425e-4,275,Lwri,0,10,95,0,11,6,female_Lwri
96,female,0.039162563270970355,0.2745973399181747,0.005376890113898095,2.8120725878852425e-4,275,Lwri,0,10,95,0,11,6,female_Lwri
97,female,0.039162563270970355,0.2745973399181747,0.005376890113898095,2.8120725878852425e-4,275,Lwri,0,10,95,0,11,6,female_Lwri
98,female,0.039162563270970355,0.2745973399181747,0.005376890113898095,2.8120725878852425e-4,275,Lwri,0,10,95,0,11,6,female_Lwri
99,female,0.039162563270970355,0.2745973399181747,0.005376890113898095,2.8120725878852425e-4,275,Lwri,0,10,95,0,11,6,female_Lwri
100,female,0.039162563270970355,0.2745973399181747,0.005376890113898095,2.8120725878852425e-4,275,Lwri,0,10,95,0,11,6,female_Lwri
