age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_lwri,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,2.23574872862768e-5,0.0215909615711904,5.558735435281196e-4,3.506715387474856e-5,6598,Lwri,0,10,0,0,0,5,female_Lwri
1,female,2.23574872862768e-5,0.0215909615711904,5.558735435281196e-4,3.506715387474856e-5,6598,Lwri,0,10,0,0,0,5,female_Lwri
2,female,2.23574872862768e-5,0.0215909615711904,5.558735435281196e-4,3.506715387474856e-5,6598,Lwri,0,10,0,0,0,5,female_Lwri
3,female,2.23574872862768e-5,0.0215909615711904,5.558735435281196e-4,3.506715387474856e-5,6598,Lwri,0,10,0,0,0,5,female_Lwri
4,female,2.23574872862768e-5,0.0215909615711904,5.558735435281196e-4,3.506715387474856e-5,6598,Lwri,0,10,0,0,0,5,female_Lwri
5,female,1.7652868335634792e-6,0.01073085592604205,2.55743867505386e-4,1.643494122455171e-5,6603,Lwri,0,10,5,0,0,5,female_Lwri
6,female,1.7652868335634792e-6,0.01073085592604205,2.55743867505386e-4,1.643494122455171e-5,6603,Lwri,0,10,5,0,0,5,female_Lwri
7,female,1.7652868335634792e-6,0.01073085592604205,2.55743867505386e-4,1.643494122455171e-5,6603,Lwri,0,10,5,0,0,5,female_Lwri
8,female,1.7652868335634792e-6,0.01073085592604205,2.55743867505386e-4,1.643494122455171e-5,6603,Lwri,0,10,5,0,0,5,female_Lwri
9,female,1.7652868335634792e-6,0.01073085592604205,2.55743867505386e-4,1.643494122455171e-5,6603,Lwri,0,10,5,0,0,5,female_Lwri
10,female,2.1066043132484493e-6,0.007042409579655049,1.5463987781426592e-4,9.941121740506904e-6,6051,Lwri,0,50,10,0,0,5,female_Lwri
11,female,2.1066043132484493e-6,0.007042409579655049,1.5463987781426592e-4,9.941121740506904e-6,6051,Lwri,0,50,10,0,0,5,female_Lwri
12,female,2.1066043132484493e-6,0.007042409579655049,1.5463987781426592e-4,9.941121740506904e-6,6051,Lwri,0,50,10,0,0,5,female_Lwri
13,female,2.1066043132484493e-6,0.007042409579655049,1.5463987781426592e-4,9.941121740506904e-6,6051,Lwri,0,50,10,0,0,5,female_Lwri
14,female,2.1066043132484493e-6,0.007042409579655049,1.5463987781426592e-4,9.941121740506904e-6,6051,Lwri,0,50,10,0,0,5,female_Lwri
15,female,3.906229295161867e-6,0.008482389916121543,1.8559568969132994e-4,1.1609151513325928e-5,6338,Lwri,0,50,15,0,0,5,female_Lwri
16,female,3.906229295161867e-6,0.008482389916121543,1.8559568969132994e-4,1.1609151513325928e-5,6338,Lwri,0,50,15,0,0,5,female_Lwri
17,female,3.906229295161867e-6,0.008482389916121543,1.8559568969132994e-4,1.1609151513325928e-5,6338,Lwri,0,50,15,0,0,5,female_Lwri
18,female,3.906229295161867e-6,0.008482389916121543,1.8559568969132994e-4,1.1609151513325928e-5,6338,Lwri,0,50,15,0,0,5,female_Lwri
19,female,3.906229295161867e-6,0.008482389916121543,1.8559568969132994e-4,1.1609151513325928e-5,6338,Lwri,0,50,15,0,0,5,female_Lwri
20,female,4.142478137005734e-6,0.009488394196791336,2.1127988259904933e-4,1.3149729803638397e-5,7828,Lwri,0,50,20,0,0,5,female_Lwri
21,female,4.142478137005734e-6,0.009488394196791336,2.1127988259904933e-4,1.3149729803638397e-5,7828,Lwri,0,50,20,0,0,5,female_Lwri
22,female,4.142478137005734e-6,0.009488394196791336,2.1127988259904933e-4,1.3149729803638397e-5,7828,Lwri,0,50,20,0,0,5,female_Lwri
23,female,4.142478137005734e-6,0.009488394196791336,2.1127988259904933e-4,1.3149729803638397e-5,7828,Lwri,0,50,20,0,0,5,female_Lwri
24,female,4.142478137005734e-6,0.009488394196791336,2.1127988259904933e-4,1.3149729803638397e-5,7828,Lwri,0,50,20,0,0,5,female_Lwri
25,female,5.422915629623813e-6,0.009922448293060795,2.211499542456598e-4,1.383010452505932e-5,8833,Lwri,0,50,25,0,0,5,female_Lwri
26,female,5.422915629623813e-6,0.009922448293060795,2.211499542456598e-4,1.383010452505932e-5,8833,Lwri,0,50,25,0,0,5,female_Lwri
27,female,5.422915629623813e-6,0.009922448293060795,2.211499542456598e-4,1.383010452505932e-5,8833,Lwri,0,50,25,0,0,5,female_Lwri
28,female,5.422915629623813e-6,0.009922448293060795,2.211499542456598e-4,1.383010452505932e-5,8833,Lwri,0,50,25,0,0,5,female_Lwri
