age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_adaod,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
59,male,3.229712109197837e-5,3.824251389297556e-4,0.0024880484637958473,3.022567491404355e-4,6479,Adaod,0,50,55,0,0,5,male_Adaod
60,male,9.529732929591171e-5,8.441611562199925e-4,0.005130064315592792,6.157656546929569e-4,5560,Adaod,0,50,60,0,1,5,male_Adaod
61,male,9.529732929591171e-5,8.441611562199925e-4,0.005130064315592792,6.157656546929569e-4,5560,Adaod,0,50,60,0,1,5,male_Adaod
62,male,9.529732929591171e-5,8.441611562199925e-4,0.005130064315592792,6.157656546929569e-4,5560,Adaod,0,50,60,0,1,5,male_Adaod
63,male,9.529732929591171e-5,8.441611562199925e-4,0.005130064315592792,6.157656546929569e-4,5560,Adaod,0,50,60,0,1,5,male_Adaod
64,male,9.529732929591171e-5,8.441611562199925e-4,0.005130064315592792,6.157656546929569e-4,5560,Adaod,0,50,60,0,1,5,male_Adaod
65,male,2.329462224862389e-4,0.0019019891402485042,0.010878532426784592,0.001289400891971433,5418,Adaod,0,50,65,1,1,5,male_Adaod
66,male,2.329462224862389e-4,0.0019019891402485042,0.010878532426784592,0.001289400891971433,5418,Adaod,0,50,65,1,1,5,male_Adaod
67,male,2.329462224862389e-4,0.0019019891402485042,0.010878532426784592,0.001289400891971433,5418,Adaod,0,50,65,1,1,5,male_Adaod
68,male,2.329462224862389e-4,0.0019019891402485042,0.010878532426784592,0.001289400891971433,5418,Adaod,0,50,65,1,1,5,male_Adaod
69,male,2.329462224862389e-4,0.0019019891402485042,0.010878532426784592,0.001289400891971433,5418,Adaod,0,50,65,1,1,5,male_Adaod
70,male,6.349082162155776e-4,0.004585235712115989,0.024034644593562138,0.0033042389133301382,4800,Adaod,0,50,70,1,3,5,male_Adaod
71,male,6.349082162155776e-4,0.004585235712115989,0.024034644593562138,0.0033042389133301382,4800,Adaod,0,50,70,1,3,5,male_Adaod
72,male,6.349082162155776e-4,0.004585235712115989,0.024034644593562138,0.0033042389133301382,4800,Adaod,0,50,70,1,3,5,male_Adaod
