age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_copd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,4.5621622584675164e-7,1.2965192313971663e-4,3.8517937134567576e-4,2.841507292715146e-5,6598,Copd,0,10,0,0,0,5,female_Copd
1,female,4.5621622584675164e-7,1.2965192313971663e-4,3.8517937134567576e-4,2.841507292715146e-5,6598,Copd,0,10,0,0,0,5,female_Copd
2,female,4.5621622584675164e-7,1.2965192313971663e-4,3.8517937134567576e-4,2.841507292715146e-5,6598,Copd,0,10,0,0,0,5,female_Copd
3,female,4.5621622584675164e-7,1.2965192313971663e-4,3.8517937134567576e-4,2.841507292715146e-5,6598,Copd,0,10,0,0,0,5,female_Copd
4,female,4.5621622584675164e-7,1.2965192313971663e-4,3.8517937134567576e-4,2.841507292715146e-5,6598,Copd,0,10,0,0,0,5,female_Copd
5,female,2.691875069940029e-7,0.00016285664429124139,0.0012134149476052496,8.7789476922895e-5,6603,Copd,0,10,5,0,0,5,female_Copd
6,female,2.691875069940029e-7,0.00016285664429124139,0.0012134149476052496,8.7789476922895e-5,6603,Copd,0,10,5,0,0,5,female_Copd
7,female,2.691875069940029e-7,0.00016285664429124139,0.0012134149476052496,8.7789476922895e-5,6603,Copd,0,10,5,0,0,5,female_Copd
8,female,2.691875069940029e-7,0.00016285664429124139,0.0012134149476052496,8.7789476922895e-5,6603,Copd,0,10,5,0,0,5,female_Copd
9,female,2.691875069940029e-7,0.00016285664429124139,0.0012134149476052496,8.7789476922895e-5,6603,Copd,0,10,5,0,0,5,female_Copd
10,female,4.10939589176853e-7,3.3321925685389205e-4,0.0023167836791495467,1.641586757422175e-4,6051,Copd,0,50,10,0,0,5,female_Copd
11,female,4.10939589176853e-7,3.3321925685389205e-4,0.0023167836791495467,1.641586757422175e-4,6051,Copd,0,50,10,0,0,5,female_Copd
12,female,4.10939589176853e-7,3.3321925685389205e-4,0.0023167836791495467,1.641586757422175e-4,6051,Copd,0,50,10,0,0,5,female_Copd
13,female,4.10939589176853e-7,3.3321925685389205e-4,0.0023167836791495467,1.641586757422175e-4,6051,Copd,0,50,10,0,0,5,female_Copd
14,female,4.10939589176853e-7,3.3321925685389205e-4,0.0023167836791495467,1.641586757422175e-4,6051,Copd,0,50,10,0,0,5,female_Copd
15,female,6.49434063842806e-7,6.720802129172461e-4,0.004829534959936401,3.3229301639780054e-4,6338,Copd,0,50,15,0,0,5,female_Copd
16,female,6.49434063842806e-7,6.720802129172461e-4,0.004829534959936401,3.3229301639780054e-4,6338,Copd,0,50,15,0,0,5,female_Copd
17,female,6.49434063842806e-7,6.720802129172461e-4,0.004829534959936401,3.3229301639780054e-4,6338,Copd,0,50,15,0,0,5,female_Copd
18,female,6.49434063842806e-7,6.720802129172461e-4,0.004829534959936401,3.3229301639780054e-4,6338,Copd,0,50,15,0,0,5,female_Copd
19,female,6.49434063842806e-7,6.720802129172461e-4,0.004829534959936401,3.3229301639780054e-4,6338,Copd,0,50,15,0,0,5,female_Copd
20,female,5.867095135106288e-7,9.969046937150818e-4,0.009022179683471911,6.172195238662639e-4,7828,Copd,0,50,20,0,0,5,female_Copd
21,female,5.867095135106288e-7,9.969046937150818e-4,0.009022179683471911,6.172195238662639e-4,7828,Copd,0,50,20,0,0,5,female_Copd
22,female,5.867095135106288e-7,9.969046937150818e-4,0.009022179683471911,6.172195238662639e-4,7828,Copd,0,50,20,0,0,5,female_Copd
23,female,5.867095135106288e-7,9.969046937150818e-4,0.009022179683471911,6.172195238662639e-4,7828,Copd,0,50,20,0,0,5,female_Copd
24,female,5.867095135106288e-7,9.969046937150818e-4,0.009022179683471911,6.172195238662639e-4,7828,Copd,0,50,20,0,0,5,female_Copd
25,female,6.534311466556356e-7,0.0013056103976184278,0.014797823491407111,9.96045957479647e-4,8833,Copd,0,50,25,1,0,5,female_Copd
26,female,6.534311466556356e-7,0.0013056103976184278,0.014797823491407111,9.96045957479647e-4,8833,Copd,0,50,25,1,0,5,female_Copd
27,female,6.534311466556356e-7,0.0013056103976184278,0.014797823491407111,9.96045957479647e-4,8833,Copd,0,50,25,1,0,5,female_Copd
28,female,6.534311466556356e-7,0.0013056103976184278,0.014797823491407111,9.96045957479647e-4,8833,Copd,0,50,25,1,0,5,female_Copd
29,female,6.534311466556356e-7,0.0013056103976184278,0.014797823491407111,9.96045957479647e-4,8833,Copd,0,50,25,1,0,5,female_Copd
30,female,9.21640474926233e-7,0.0017659524579782683,0.02233587169035028,0.0014854050433293225,7963,Copd,0,50,30,1,0,5,female_Copd
31,female,9.21640474926233e-7,0.0017659524579782683,0.02233587169035028,0.0014854050433293225,7963,Copd,0,50,30,1,0,5,female_Copd
32,female,9.21640474926233e-7,0.0017659524579782683,0.02233587169035028,0.0014854050433293225,7963,Copd,0,50,30,1,0,5,female_Copd
33,female,9.21640474926233e-7,0.0017659524579782683,0.02233587169035028,0.0014854050433293225,7963,Copd,0,50,30,1,0,5,female_Copd
34,female,9.21640474926233e-7,0.0017659524579782683,0.02233587169035028,0.0014854050433293225,7963,Copd,0,50,30,1,0,5,female_Copd
35,female,2.203615396635392e-6,0.0026297685599688215,0.03306144622095305,0.00217843535763229,7482,Copd,0,50,35,2,0,5,female_Copd
36,female,2.203615396635392e-6,0.0026297685599688215,0.03306144622095305,0.00217843535763229,7482,Copd,0,50,35,2,0,5,female_Copd
37,female,2.203615396635392e-6,0.0026297685599688215,0.03306144622095305,0.00217843535763229,7482,Copd,0,50,35,2,0,5,female_Copd
38,female,2.203615396635392e-6,0.0026297685599688215,0.03306144622095305,0.00217843535763229,7482,Copd,0,50,35,2,0,5,female_Copd
39,female,2.203615396635392e-6,0.0026297685599688215,0.03306144622095305,0.00217843535763229,7482,Copd,0,50,35,2,0,5,female_Copd
40,female,6.423708157523311e-6,0.003427057392906128,0.048216731863890874,0.0031326444560567223,6901,Copd,0,50,40,2,0,5,female_Copd
41,female,6.423708157523311e-6,0.003427057392906128,0.048216731863890874,0.0031326444560567223,6901,Copd,0,50,40,2,0,5,female_Copd
42,female,6.423708157523311e-6,0.003427057392906128,0.048216731863890874,0.0031326444560567223,6901,Copd,0,50,40,2,0,5,female_Copd
43,female,6.423708157523311e-6,0.003427057392906128,0.048216731863890874,0.0031326444560567223,6901,Copd,0,50,40,2,0,5,female_Copd
44,female,6.423708157523311e-6,0.003427057392906128,0.048216731863890874,0.0031326444560567223,6901,Copd,0,50,40,2,0,5,female_Copd
45,female,1.7633581851251695e-5,0.003967196537568772,0.06633007708335822,0.004239427152188637,7531,Copd,0,50,45,3,0,5,female_Copd
46,female,1.7633581851251695e-5,0.003967196537568772,0.06633007708335822,0.004239427152188637,7531,Copd,0,50,45,3,0,5,female_Copd
47,female,1.7633581851251695e-5,0.003967196537568772,0.06633007708335822,0.004239427152188637,7531,Copd,0,50,45,3,0,5,female_Copd
48,female,1.7633581851251695e-5,0.003967196537568772,0.06633007708335822,0.004239427152188637,7531,Copd,0,50,45,3,0,5,female_Copd
49,female,1.7633581851251695e-5,0.003967196537568772,0.06633007708335822,0.004239427152188637,7531,Copd,0,50,45,3,0,5,female_Copd
50,female,4.9849934803965345e-5,0.0047357331863916085,0.08764570932206159,0.005575500516959267,7629,Copd,0,50,50,4,0,5,female_Copd
51,female,4.9849934803965345e-5,0.0047357331863916085,0.08764570932206159,0.005575500516959267,7629,Copd,0,50,50,4,0,5,female_Copd
