age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_ist,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
15,female,8.443978352977739e-4,2.8568786809878597e-5,2.839668119015942e-7,1.1739577779163246e-4,6338,ist,0,50,15,0,0,5
16,female,8.443978352977739e-4,2.8568786809878597e-5,2.839668119015942e-7,1.1739577779163246e-4,6338,ist,0,50,15,0,0,5
17,female,8.443978352977739e-4,2.8568786809878597e-5,2.839668119015942e-7,1.1739577779163246e-4,6338,ist,0,50,15,0,0,5
18,female,8.443978352977739e-4,2.8568786809878597e-5,2.839668119015942e-7,1.1739577779163246e-4,6338,ist,0,50,15,0,0,5
19,female,8.443978352977739e-4,2.8568786809878597e-5,2.839668119015942e-7,1.1739577779163246e-4,6338,ist,0,50,15,0,0,5
20,female,0.001069150174408498,3.3359845828238365e-5,4.337063984636462e-7,1.4843457908696119e-4,7828,ist,0,50,20,0,0,5
21,female,0.001069150174408498,3.3359845828238365e-5,4.337063984636462e-7,1.4843457908696119e-4,7828,ist,0,50,20,0,0,5
22,female,0.001069150174408498,3.3359845828238365e-5,4.337063984636462e-7,1.4843457908696119e-4,7828,ist,0,50,20,0,0,5
23,female,0.001069150174408498,3.3359845828238365e-5,4.337063984636462e-7,1.4843457908696119e-4,7828,ist,0,50,20,0,0,5
24,female,0.001069150174408498,3.3359845828238365e-5,4.337063984636462e-7,1.4843457908696119e-4,7828,ist,0,50,20,0,0,5
25,female,0.001337729279551105,4.666703994007265e-5,7.720108105732579e-7,1.8590203056280033e-4,8833,ist,0,50,25,0,0,5
26,female,0.001337729279551105,4.666703994007265e-5,7.720108105732579e-7,1.8590203056280033e-4,8833,ist,0,50,25,0,0,5
27,female,0.001337729279551105,4.666703994007265e-5,7.720108105732579e-7,1.8590203056280033e-4,8833,ist,0,50,25,0,0,5
28,female,0.001337729279551105,4.666703994007265e-5,7.720108105732579e-7,1.8590203056280033e-4,8833,ist,0,50,25,0,0,5
29,female,0.001337729279551105,4.666703994007265e-5,7.720108105732579e-7,1.8590203056280033e-4,8833,ist,0,50,25,0,0,5
30,female,0.001704062644031323,8.232538663521643e-5,1.0403827373166296e-6,2.2334593407831197e-4,7963,ist,0,50,30,0,0,5
31,female,0.001704062644031323,8.232538663521643e-5,1.0403827373166296e-6,2.2334593407831197e-4,7963,ist,0,50,30,0,0,5
32,female,0.001704062644031323,8.232538663521643e-5,1.0403827373166296e-6,2.2334593407831197e-4,7963,ist,0,50,30,0,0,5
33,female,0.001704062644031323,8.232538663521643e-5,1.0403827373166296e-6,2.2334593407831197e-4,7963,ist,0,50,30,0,0,5
34,female,0.001704062644031323,8.232538663521643e-5,1.0403827373166296e-6,2.2334593407831197e-4,7963,ist,0,50,30,0,0,5
35,female,0.0023528761293533855,1.4041966454110774e-4,1.675805382860524e-6,3.0518492748114105e-4,7482,ist,0,50,35,0,0,5
36,female,0.0023528761293533855,1.4041966454110774e-4,1.675805382860524e-6,3.0518492748114105e-4,7482,ist,0,50,35,0,0,5
37,female,0.0023528761293533855,1.4041966454110774e-4,1.675805382860524e-6,3.0518492748114105e-4,7482,ist,0,50,35,0,0,5
38,female,0.0023528761293533855,1.4041966454110774e-4,1.675805382860524e-6,3.0518492748114105e-4,7482,ist,0,50,35,0,0,5
39,female,0.0023528761293533855,1.4041966454110774e-4,1.675805382860524e-6,3.0518492748114105e-4,7482,ist,0,50,35,0,0,5
40,female,0.003380898072068214,2.2748901150770206e-4,2.9342526516437695e-6,4.3485190927174556e-4,6901,ist,0,50,40,0,0,5
41,female,0.003380898072068214,2.2748901150770206e-4,2.9342526516437695e-6,4.3485190927174556e-4,6901,ist,0,50,40,0,0,5
42,female,0.003380898072068214,2.2748901150770206e-4,2.9342526516437695e-6,4.3485190927174556e-4,6901,ist,0,50,40,0,0,5
43,female,0.003380898072068214,2.2748901150770206e-4,2.9342526516437695e-6,4.3485190927174556e-4,6901,ist,0,50,40,0,0,5
44,female,0.003380898072068214,2.2748901150770206e-4,2.9342526516437695e-6,4.3485190927174556e-4,6901,ist,0,50,40,0,0,5
45,female,0.005012851562564586,3.43356032488274e-4,6.4045269817197415e-6,6.310284529284522e-4,7531,ist,0,50,45,0,0,5
46,female,0.005012851562564586,3.43356032488274e-4,6.4045269817197415e-6,6.310284529284522e-4,7531,ist,0,50,45,0,0,5
47,female,0.005012851562564586,3.43356032488274e-4,6.4045269817197415e-6,6.310284529284522e-4,7531,ist,0,50,45,0,0,5
48,female,0.005012851562564586,3.43356032488274e-4,6.4045269817197415e-6,6.310284529284522e-4,7531,ist,0,50,45,0,0,5
49,female,0.005012851562564586,3.43356032488274e-4,6.4045269817197415e-6,6.310284529284522e-4,7531,ist,0,50,45,0,0,5
50,female,0.007410681356221361,5.288091364793836e-4,9.671806894641872e-6,9.495617598416969e-4,7629,ist,0,50,50,0,0,5
51,female,0.007410681356221361,5.288091364793836e-4,9.671806894641872e-6,9.495617598416969e-4,7629,ist,0,50,50,0,0,5
52,female,0.007410681356221361,5.288091364793836e-4,9.671806894641872e-6,9.495617598416969e-4,7629,ist,0,50,50,0,0,5
53,female,0.007410681356221361,5.288091364793836e-4,9.671806894641872e-6,9.495617598416969e-4,7629,ist,0,50,50,0,0,5
54,female,0.007410681356221361,5.288091364793836e-4,9.671806894641872e-6,9.495617598416969e-4,7629,ist,0,50,50,0,0,5
55,female,0.010971057661637643,7.838715511191943e-4,1.6477693320675456e-5,0.0014577997043995067,6580,ist,0,50,55,1,0,5
56,female,0.010971057661637643,7.838715511191943e-4,1.6477693320675456e-5,0.0014577997043995067,6580,ist,0,50,55,1,0,5
57,female,0.010971057661637643,7.838715511191943e-4,1.6477693320675456e-5,0.0014577997043995067,6580,ist,0,50,55,1,0,5
58,female,0.010971057661637643,7.838715511191943e-4,1.6477693320675456e-5,0.0014577997043995067,6580,ist,0,50,55,1,0,5
59,female,0.010971057661637643,7.838715511191943e-4,1.6477693320675456e-5,0.0014577997043995067,6580,ist,0,50,55,1,0,5
60,female,0.016020849410291943,0.0012454128965672755,5.17747884126343e-5,0.002184773783952347,5725,ist,0,50,60,1,0,5
61,female,0.016020849410291943,0.0012454128965672755,5.17747884126343e-5,0.002184773783952347,5725,ist,0,50,60,1,0,5
62,female,0.016020849410291943,0.0012454128965672755,5.17747884126343e-5,0.002184773783952347,5725,ist,0,50,60,1,0,5
63,female,0.016020849410291943,0.0012454128965672755,5.17747884126343e-5,0.002184773783952347,5725,ist,0,50,60,1,0,5
64,female,0.016020849410291943,0.0012454128965672755,5.17747884126343e-5,0.002184773783952347,5725,ist,0,50,60,1,0,5
65,female,0.02347787601851372,0.0019134996542391422,1.0562025958831612e-4,0.003272575374722734,5670,ist,0,50,65,1,1,5
66,female,0.02347787601851372,0.0019134996542391422,1.0562025958831612e-4,0.003272575374722734,5670,ist,0,50,65,1,1,5
67,female,0.02347787601851372,0.0019134996542391422,1.0562025958831612e-4,0.003272575374722734,5670,ist,0,50,65,1,1,5
68,female,0.02347787601851372,0.0019134996542391422,1.0562025958831612e-4,0.003272575374722734,5670,ist,0,50,65,1,1,5
69,female,0.02347787601851372,0.0019134996542391422,1.0562025958831612e-4,0.003272575374722734,5670,ist,0,50,65,1,1,5
70,female,0.03365691857576665,0.002663022239585681,3.1850992509275514e-4,0.005125065959823296,5104,ist,0,50,70,2,2,5
71,female,0.03365691857576665,0.002663022239585681,3.1850992509275514e-4,0.005125065959823296,5104,ist,0,50,70,2,2,5
72,female,0.03365691857576665,0.002663022239585681,3.1850992509275514e-4,0.005125065959823296,5104,ist,0,50,70,2,2,5
73,female,0.03365691857576665,0.002663022239585681,3.1850992509275514e-4,0.005125065959823296,5104,ist,0,50,70,2,2,5
74,female,0.03365691857576665,0.002663022239585681,3.1850992509275514e-4,0.005125065959823296,5104,ist,0,50,70,2,2,5
75,female,0.04702488716519876,0.0034897365982462093,8.082566383117268e-4,0.007975137611286898,3792,ist,0,50,75,2,3,5
76,female,0.04702488716519876,0.0034897365982462093,8.082566383117268e-4,0.007975137611286898,3792,ist,0,50,75,2,3,5
77,female,0.04702488716519876,0.0034897365982462093,8.082566383117268e-4,0.007975137611286898,3792,ist,0,50,75,2,3,5
78,female,0.04702488716519876,0.0034897365982462093,8.082566383117268e-4,0.007975137611286898,3792,ist,0,50,75,2,3,5
79,female,0.04702488716519876,0.0034897365982462093,8.082566383117268e-4,0.007975137611286898,3792,ist,0,50,75,2,3,5
80,female,0.06335332609005594,0.005758039115340899,0.002799835201728603,0.011549053332495363,2983,ist,0,20,80,1,8,5
81,female,0.06335332609005594,0.005758039115340899,0.002799835201728603,0.011549053332495363,2983,ist,0,20,80,1,8,5
82,female,0.06335332609005594,0.005758039115340899,0.002799835201728603,0.011549053332495363,2983,ist,0,20,80,1,8,5
83,female,0.06335332609005594,0.005758039115340899,0.002799835201728603,0.011549053332495363,2983,ist,0,20,80,1,8,5
84,female,0.06335332609005594,0.005758039115340899,0.002799835201728603,0.011549053332495363,2983,ist,0,20,80,1,8,5
85,female,0.0817918181986928,0.00947259334267933,0.007211340512302304,0.01579411619366731,2001,ist,0,20,85,2,14,5
86,female,0.0817918181986928,0.00947259334267933,0.007211340512302304,0.01579411619366731,2001,ist,0,20,85,2,14,5
87,female,0.0817918181986928,0.00947259334267933,0.007211340512302304,0.01579411619366731,2001,ist,0,20,85,2,14,5
88,female,0.0817918181986928,0.00947259334267933,0.007211340512302304,0.01579411619366731,2001,ist,0,20,85,2,14,5
89,female,0.0817918181986928,0.00947259334267933,0.007211340512302304,0.01579411619366731,2001,ist,0,20,85,2,14,5
90,female,0.09775729780040653,0.013180818663476028,0.01277880650138704,0.019561001758579073,1019,ist,0,10,90,1,13,5
91,female,0.09775729780040653,0.013180818663476028,0.01277880650138704,0.019561001758579073,1019,ist,0,10,90,1,13,5
92,female,0.09775729780040653,0.013180818663476028,0.01277880650138704,0.019561001758579073,1019,ist,0,10,90,1,13,5
93,female,0.09775729780040653,0.013180818663476028,0.01277880650138704,0.019561001758579073,1019,ist,0,10,90,1,13,5
94,female,0.09775729780040653,0.013180818663476028,0.01277880650138704,0.019561001758579073,1019,ist,0,10,90,1,13,5
95,female,0.1084205023721513,0.01688032370422908,0.024385124657145447,0.022732575305087106,275,ist,0,10,95,1,7,6
96,female,0.1084205023721513,0.01688032370422908,0.024385124657145447,0.022732575305087106,275,ist,0,10,95,1,7,6
97,female,0.1084205023721513,0.01688032370422908,0.024385124657145447,0.022732575305087106,275,ist,0,10,95,1,7,6
98,female,0.1084205023721513,0.01688032370422908,0.024385124657145447,0.022732575305087106,275,ist,0,10,95,1,7,6
99,female,0.1084205023721513,0.01688032370422908,0.024385124657145447,0.022732575305087106,275,ist,0,10,95,1,7,6
100,female,0.1084205023721513,0.01688032370422908,0.024385124657145447,0.022732575305087106,275,ist,0,10,95,1,7,6
