age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_ist,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,1.4304214629079127e-4,4.52841757318738e-5,3.228591899806338e-7,2.03074851882006e-5,6598,ist,0,10,0,0,0,5
1,female,1.4304214629079127e-4,4.52841757318738e-5,3.228591899806338e-7,2.03074851882006e-5,6598,ist,0,10,0,0,0,5
2,female,1.4304214629079127e-4,4.52841757318738e-5,3.228591899806338e-7,2.03074851882006e-5,6598,ist,0,10,0,0,0,5
3,female,1.4304214629079127e-4,4.52841757318738e-5,3.228591899806338e-7,2.03074851882006e-5,6598,ist,0,10,0,0,0,5
4,female,1.4304214629079127e-4,4.52841757318738e-5,3.228591899806338e-7,2.03074851882006e-5,6598,ist,0,10,0,0,0,5
5,female,3.9933029670325326e-4,3.5294779851650716e-5,4.547016375644546e-8,5.625103820299466e-5,6603,ist,0,10,5,0,0,5
6,female,3.9933029670325326e-4,3.5294779851650716e-5,4.547016375644546e-8,5.625103820299466e-5,6603,ist,0,10,5,0,0,5
7,female,3.9933029670325326e-4,3.5294779851650716e-5,4.547016375644546e-8,5.625103820299466e-5,6603,ist,0,10,5,0,0,5
8,female,3.9933029670325326e-4,3.5294779851650716e-5,4.547016375644546e-8,5.625103820299466e-5,6603,ist,0,10,5,0,0,5
9,female,3.9933029670325326e-4,3.5294779851650716e-5,4.547016375644546e-8,5.625103820299466e-5,6603,ist,0,10,5,0,0,5
10,female,6.265304152985316e-4,3.2199930180653566e-5,6.608555661434915e-8,8.875563430555342e-5,6051,ist,0,50,10,0,0,5
11,female,6.265304152985316e-4,3.2199930180653566e-5,6.608555661434915e-8,8.875563430555342e-5,6051,ist,0,50,10,0,0,5
12,female,6.265304152985316e-4,3.2199930180653566e-5,6.608555661434915e-8,8.875563430555342e-5,6051,ist,0,50,10,0,0,5
13,female,6.265304152985316e-4,3.2199930180653566e-5,6.608555661434915e-8,8.875563430555342e-5,6051,ist,0,50,10,0,0,5
14,female,6.265304152985316e-4,3.2199930180653566e-5,6.608555661434915e-8,8.875563430555342e-5,6051,ist,0,50,10,0,0,5
