age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_stmc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
47,male,3.03019152282513e-5,8.72466669699293e-5,3.46757076899829e-4,3.4256548378603464e-5,7628,Stmc,0,50,45,0,0,5,male_Stmc
48,male,3.03019152282513e-5,8.72466669699293e-5,3.46757076899829e-4,3.4256548378603464e-5,7628,Stmc,0,50,45,0,0,5,male_Stmc
49,male,3.03019152282513e-5,8.72466669699293e-5,3.46757076899829e-4,3.4256548378603464e-5,7628,Stmc,0,50,45,0,0,5,male_Stmc
50,male,5.250218965519693e-5,1.3861859168920777e-4,5.3139069082877e-4,5.3479540089435686e-5,7605,Stmc,0,50,50,0,0,5,male_Stmc
51,male,5.250218965519693e-5,1.3861859168920777e-4,5.3139069082877e-4,5.3479540089435686e-5,7605,Stmc,0,50,50,0,0,5,male_Stmc
52,male,5.250218965519693e-5,1.3861859168920777e-4,5.3139069082877e-4,5.3479540089435686e-5,7605,Stmc,0,50,50,0,0,5,male_Stmc
53,male,5.250218965519693e-5,1.3861859168920777e-4,5.3139069082877e-4,5.3479540089435686e-5,7605,Stmc,0,50,50,0,0,5,male_Stmc
54,male,5.250218965519693e-5,1.3861859168920777e-4,5.3139069082877e-4,5.3479540089435686e-5,7605,Stmc,0,50,50,0,0,5,male_Stmc
55,male,8.855501633339856e-5,2.1649474839592533e-4,8.062916911191181e-4,8.207944077054658e-5,6479,Stmc,0,50,55,0,1,5,male_Stmc
56,male,8.855501633339856e-5,2.1649474839592533e-4,8.062916911191181e-4,8.207944077054658e-5,6479,Stmc,0,50,55,0,1,5,male_Stmc
57,male,8.855501633339856e-5,2.1649474839592533e-4,8.062916911191181e-4,8.207944077054658e-5,6479,Stmc,0,50,55,0,1,5,male_Stmc
58,male,8.855501633339856e-5,2.1649474839592533e-4,8.062916911191181e-4,8.207944077054658e-5,6479,Stmc,0,50,55,0,1,5,male_Stmc
59,male,8.855501633339856e-5,2.1649474839592533e-4,8.062916911191181e-4,8.207944077054658e-5,6479,Stmc,0,50,55,0,1,5,male_Stmc
60,male,1.668695267394526e-4,3.8247482478619566e-4,0.0013627131003662312,1.3711431493679157e-4,5560,Stmc,0,50,60,0,1,5,male_Stmc
61,male,1.668695267394526e-4,3.8247482478619566e-4,0.0013627131003662312,1.3711431493679157e-4,5560,Stmc,0,50,60,0,1,5,male_Stmc
62,male,1.668695267394526e-4,3.8247482478619566e-4,0.0013627131003662312,1.3711431493679157e-4,5560,Stmc,0,50,60,0,1,5,male_Stmc
63,male,1.668695267394526e-4,3.8247482478619566e-4,0.0013627131003662312,1.3711431493679157e-4,5560,Stmc,0,50,60,0,1,5,male_Stmc
64,male,1.668695267394526e-4,3.8247482478619566e-4,0.0013627131003662312,1.3711431493679157e-4,5560,Stmc,0,50,60,0,1,5,male_Stmc
65,male,2.617045070504506e-4,5.564527060458911e-4,0.0018867153626876648,1.8625137714960567e-4,5418,Stmc,0,50,65,0,1,5,male_Stmc
66,male,2.617045070504506e-4,5.564527060458911e-4,0.0018867153626876648,1.8625137714960567e-4,5418,Stmc,0,50,65,0,1,5,male_Stmc
67,male,2.617045070504506e-4,5.564527060458911e-4,0.0018867153626876648,1.8625137714960567e-4,5418,Stmc,0,50,65,0,1,5,male_Stmc
