age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_brsc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
47,male,1.5595485634387838e-6,7.0100413376111175e-6,6.314292777768398e-5,5.868073634543661e-6,7628,Brsc,0,50,45,0,0,5,male_Brsc
48,male,1.5595485634387838e-6,7.0100413376111175e-6,6.314292777768398e-5,5.868073634543661e-6,7628,Brsc,0,50,45,0,0,5,male_Brsc
49,male,1.5595485634387838e-6,7.0100413376111175e-6,6.314292777768398e-5,5.868073634543661e-6,7628,Brsc,0,50,45,0,0,5,male_Brsc
50,male,2.744940144971037e-6,9.330958477670388e-6,8.355990992214977e-5,7.808404844890366e-6,7605,Brsc,0,50,50,0,0,5,male_Brsc
51,male,2.744940144971037e-6,9.330958477670388e-6,8.355990992214977e-5,7.808404844890366e-6,7605,Brsc,0,50,50,0,0,5,male_Brsc
52,male,2.744940144971037e-6,9.330958477670388e-6,8.355990992214977e-5,7.808404844890366e-6,7605,Brsc,0,50,50,0,0,5,male_Brsc
53,male,2.744940144971037e-6,9.330958477670388e-6,8.355990992214977e-5,7.808404844890366e-6,7605,Brsc,0,50,50,0,0,5,male_Brsc
54,male,2.744940144971037e-6,9.330958477670388e-6,8.355990992214977e-5,7.808404844890366e-6,7605,Brsc,0,50,50,0,0,5,male_Brsc
55,male,4.602927280121247e-6,1.3837510719051966e-5,1.2397394951631162e-4,1.1660276333928515e-5,6479,Brsc,0,50,55,0,0,5,male_Brsc
56,male,4.602927280121247e-6,1.3837510719051966e-5,1.2397394951631162e-4,1.1660276333928515e-5,6479,Brsc,0,50,55,0,0,5,male_Brsc
57,male,4.602927280121247e-6,1.3837510719051966e-5,1.2397394951631162e-4,1.1660276333928515e-5,6479,Brsc,0,50,55,0,0,5,male_Brsc
58,male,4.602927280121247e-6,1.3837510719051966e-5,1.2397394951631162e-4,1.1660276333928515e-5,6479,Brsc,0,50,55,0,0,5,male_Brsc
59,male,4.602927280121247e-6,1.3837510719051966e-5,1.2397394951631162e-4,1.1660276333928515e-5,6479,Brsc,0,50,55,0,0,5,male_Brsc
60,male,9.40642106318828e-6,2.8193056266059973e-5,2.4494252347780147e-4,2.289928273520281e-5,5560,Brsc,0,50,60,0,0,5,male_Brsc
61,male,9.40642106318828e-6,2.8193056266059973e-5,2.4494252347780147e-4,2.289928273520281e-5,5560,Brsc,0,50,60,0,0,5,male_Brsc
62,male,9.40642106318828e-6,2.8193056266059973e-5,2.4494252347780147e-4,2.289928273520281e-5,5560,Brsc,0,50,60,0,0,5,male_Brsc
63,male,9.40642106318828e-6,2.8193056266059973e-5,2.4494252347780147e-4,2.289928273520281e-5,5560,Brsc,0,50,60,0,0,5,male_Brsc
64,male,9.40642106318828e-6,2.8193056266059973e-5,2.4494252347780147e-4,2.289928273520281e-5,5560,Brsc,0,50,60,0,0,5,male_Brsc
65,male,1.4267378685929791e-5,3.995740275585594e-5,3.447444376010818e-4,3.236085633628209e-5,5418,Brsc,0,50,65,0,0,5,male_Brsc
