age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_brsc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0,1e-8,0,0,6598,Brsc,0,10,0,0,0,5,female_Brsc
1,female,0,1e-8,0,0,6598,Brsc,0,10,0,0,0,5,female_Brsc
2,female,0,1e-8,0,0,6598,Brsc,0,10,0,0,0,5,female_Brsc
3,female,0,1e-8,0,0,6598,Brsc,0,10,0,0,0,5,female_Brsc
4,female,0,1e-8,0,0,6598,Brsc,0,10,0,0,0,5,female_Brsc
5,female,0,1e-8,0,0,6603,Brsc,0,10,5,0,0,5,female_Brsc
6,female,0,1e-8,0,0,6603,Brsc,0,10,5,0,0,5,female_Brsc
7,female,0,1e-8,0,0,6603,Brsc,0,10,5,0,0,5,female_Brsc
8,female,0,1e-8,0,0,6603,Brsc,0,10,5,0,0,5,female_Brsc
9,female,0,1e-8,0,0,6603,Brsc,0,10,5,0,0,5,female_Brsc
10,female,0,1e-8,0,0,6051,Brsc,0,50,10,0,0,5,female_Brsc
11,female,0,1e-8,0,0,6051,Brsc,0,50,10,0,0,5,female_Brsc
12,female,0,1e-8,0,0,6051,Brsc,0,50,10,0,0,5,female_Brsc
13,female,0,1e-8,0,0,6051,Brsc,0,50,10,0,0,5,female_Brsc
14,female,0,1e-8,0,0,6051,Brsc,0,50,10,0,0,5,female_Brsc
15,female,2.605063988527792e-7,3.657598858937616e-6,3.5073337844391265e-5,2.9193126958099174e-6,6338,Brsc,0,50,15,0,0,5,female_Brsc
16,female,2.605063988527792e-7,3.657598858937616e-6,3.5073337844391265e-5,2.9193126958099174e-6,6338,Brsc,0,50,15,0,0,5,female_Brsc
17,female,2.605063988527792e-7,3.657598858937616e-6,3.5073337844391265e-5,2.9193126958099174e-6,6338,Brsc,0,50,15,0,0,5,female_Brsc
18,female,2.605063988527792e-7,3.657598858937616e-6,3.5073337844391265e-5,2.9193126958099174e-6,6338,Brsc,0,50,15,0,0,5,female_Brsc
19,female,2.605063988527792e-7,3.657598858937616e-6,3.5073337844391265e-5,2.9193126958099174e-6,6338,Brsc,0,50,15,0,0,5,female_Brsc
20,female,9.895024322385081e-7,1.6347686083551785e-5,1.5784634701600565e-4,1.3127070805804442e-5,7828,Brsc,0,50,20,0,0,5,female_Brsc
21,female,9.895024322385081e-7,1.6347686083551785e-5,1.5784634701600565e-4,1.3127070805804442e-5,7828,Brsc,0,50,20,0,0,5,female_Brsc
22,female,9.895024322385081e-7,1.6347686083551785e-5,1.5784634701600565e-4,1.3127070805804442e-5,7828,Brsc,0,50,20,0,0,5,female_Brsc
23,female,9.895024322385081e-7,1.6347686083551785e-5,1.5784634701600565e-4,1.3127070805804442e-5,7828,Brsc,0,50,20,0,0,5,female_Brsc
24,female,9.895024322385081e-7,1.6347686083551785e-5,1.5784634701600565e-4,1.3127070805804442e-5,7828,Brsc,0,50,20,0,0,5,female_Brsc
25,female,7.5395300465888864e-6,1.420857535533856e-4,0.0012569201458410206,1.0750499125569721e-4,8833,Brsc,0,50,25,0,0,5,female_Brsc
26,female,7.5395300465888864e-6,1.420857535533856e-4,0.0012569201458410206,1.0750499125569721e-4,8833,Brsc,0,50,25,0,0,5,female_Brsc
