age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_ist,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,1.277644946314759e-4,3.963588864205824e-5,3.8771538360384366e-7,1.5203083978026066e-5,6980,ist,0,10,0,0,0,5
1,male,1.277644946314759e-4,3.963588864205824e-5,3.8771538360384366e-7,1.5203083978026066e-5,6980,ist,0,10,0,0,0,5
2,male,1.277644946314759e-4,3.963588864205824e-5,3.8771538360384366e-7,1.5203083978026066e-5,6980,ist,0,10,0,0,0,5
3,male,1.277644946314759e-4,3.963588864205824e-5,3.8771538360384366e-7,1.5203083978026066e-5,6980,ist,0,10,0,0,0,5
4,male,1.277644946314759e-4,3.963588864205824e-5,3.8771538360384366e-7,1.5203083978026066e-5,6980,ist,0,10,0,0,0,5
5,male,3.461188268683218e-4,3.0100289394196113e-5,6.07919677268871e-8,4.073562772160307e-5,6917,ist,0,10,5,0,0,5
6,male,3.461188268683218e-4,3.0100289394196113e-5,6.07919677268871e-8,4.073562772160307e-5,6917,ist,0,10,5,0,0,5
7,male,3.461188268683218e-4,3.0100289394196113e-5,6.07919677268871e-8,4.073562772160307e-5,6917,ist,0,10,5,0,0,5
8,male,3.461188268683218e-4,3.0100289394196113e-5,6.07919677268871e-8,4.073562772160307e-5,6917,ist,0,10,5,0,0,5
9,male,3.461188268683218e-4,3.0100289394196113e-5,6.07919677268871e-8,4.073562772160307e-5,6917,ist,0,10,5,0,0,5
10,male,5.419692565523949e-4,2.7630872592854498e-5,6.421322295357112e-8,6.489304872554471e-5,6234,ist,0,50,10,0,0,5
11,male,5.419692565523949e-4,2.7630872592854498e-5,6.421322295357112e-8,6.489304872554471e-5,6234,ist,0,50,10,0,0,5
12,male,5.419692565523949e-4,2.7630872592854498e-5,6.421322295357112e-8,6.489304872554471e-5,6234,ist,0,50,10,0,0,5
13,male,5.419692565523949e-4,2.7630872592854498e-5,6.421322295357112e-8,6.489304872554471e-5,6234,ist,0,50,10,0,0,5
14,male,5.419692565523949e-4,2.7630872592854498e-5,6.421322295357112e-8,6.489304872554471e-5,6234,ist,0,50,10,0,0,5
15,male,7.246400894410539e-4,2.386937826141762e-5,1.4881544673473944e-7,8.660347170247021e-5,6436,ist,0,50,15,0,0,5
16,male,7.246400894410539e-4,2.386937826141762e-5,1.4881544673473944e-7,8.660347170247021e-5,6436,ist,0,50,15,0,0,5
17,male,7.246400894410539e-4,2.386937826141762e-5,1.4881544673473944e-7,8.660347170247021e-5,6436,ist,0,50,15,0,0,5
18,male,7.246400894410539e-4,2.386937826141762e-5,1.4881544673473944e-7,8.660347170247021e-5,6436,ist,0,50,15,0,0,5
19,male,7.246400894410539e-4,2.386937826141762e-5,1.4881544673473944e-7,8.660347170247021e-5,6436,ist,0,50,15,0,0,5
