age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_ist,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
20,male,9.037538040127512e-4,2.456086639652248e-5,2.5986757593038517e-7,1.0796304450469838e-4,7845,ist,0,50,20,0,0,5
21,male,9.037538040127512e-4,2.456086639652248e-5,2.5986757593038517e-7,1.0796304450469838e-4,7845,ist,0,50,20,0,0,5
22,male,9.037538040127512e-4,2.456086639652248e-5,2.5986757593038517e-7,1.0796304450469838e-4,7845,ist,0,50,20,0,0,5
23,male,9.037538040127512e-4,2.456086639652248e-5,2.5986757593038517e-7,1.0796304450469838e-4,7845,ist,0,50,20,0,0,5
24,male,9.037538040127512e-4,2.456086639652248e-5,2.5986757593038517e-7,1.0796304450469838e-4,7845,ist,0,50,20,0,0,5
25,male,0.0011078613487539627,2.968698695128309e-5,5.206622344683044e-7,1.328179105763095e-4,9023,ist,0,50,25,0,0,5
26,male,0.0011078613487539627,2.968698695128309e-5,5.206622344683044e-7,1.328179105763095e-4,9023,ist,0,50,25,0,0,5
27,male,0.0011078613487539627,2.968698695128309e-5,5.206622344683044e-7,1.328179105763095e-4,9023,ist,0,50,25,0,0,5
28,male,0.0011078613487539627,2.968698695128309e-5,5.206622344683044e-7,1.328179105763095e-4,9023,ist,0,50,25,0,0,5
29,male,0.0011078613487539627,2.968698695128309e-5,5.206622344683044e-7,1.328179105763095e-4,9023,ist,0,50,25,0,0,5
30,male,0.0013839998242169596,5.5364568903982056e-5,1.15122774903413e-6,1.6622711962799782e-4,8448,ist,0,50,30,0,0,5
31,male,0.0013839998242169596,5.5364568903982056e-5,1.15122774903413e-6,1.6622711962799782e-4,8448,ist,0,50,30,0,0,5
32,male,0.0013839998242169596,5.5364568903982056e-5,1.15122774903413e-6,1.6622711962799782e-4,8448,ist,0,50,30,0,0,5
33,male,0.0013839998242169596,5.5364568903982056e-5,1.15122774903413e-6,1.6622711962799782e-4,8448,ist,0,50,30,0,0,5
34,male,0.0013839998242169596,5.5364568903982056e-5,1.15122774903413e-6,1.6622711962799782e-4,8448,ist,0,50,30,0,0,5
35,male,0.0018933509991451052,1.0165432471392636e-4,2.2100915421841634e-6,2.148754693790859e-4,7997,ist,0,50,35,0,0,5
36,male,0.0018933509991451052,1.0165432471392636e-4,2.2100915421841634e-6,2.148754693790859e-4,7997,ist,0,50,35,0,0,5
37,male,0.0018933509991451052,1.0165432471392636e-4,2.2100915421841634e-6,2.148754693790859e-4,7997,ist,0,50,35,0,0,5
38,male,0.0018933509991451052,1.0165432471392636e-4,2.2100915421841634e-6,2.148754693790859e-4,7997,ist,0,50,35,0,0,5
39,male,0.0018933509991451052,1.0165432471392636e-4,2.2100915421841634e-6,2.148754693790859e-4,7997,ist,0,50,35,0,0,5
40,male,0.002801130784431518,2.3983919005060003e-4,6.0311639694857836e-6,0.00032307744354605834,7179,ist,0,50,40,0,0,5
41,male,0.002801130784431518,2.3983919005060003e-4,6.0311639694857836e-6,0.00032307744354605834,7179,ist,0,50,40,0,0,5
42,male,0.002801130784431518,2.3983919005060003e-4,6.0311639694857836e-6,0.00032307744354605834,7179,ist,0,50,40,0,0,5
43,male,0.002801130784431518,2.3983919005060003e-4,6.0311639694857836e-6,0.00032307744354605834,7179,ist,0,50,40,0,0,5
44,male,0.002801130784431518,2.3983919005060003e-4,6.0311639694857836e-6,0.00032307744354605834,7179,ist,0,50,40,0,0,5
45,male,0.004591463784966112,4.7057165121893384e-4,1.3209821757780158e-5,5.366343399227158e-4,7628,ist,0,50,45,0,0,5
46,male,0.004591463784966112,4.7057165121893384e-4,1.3209821757780158e-5,5.366343399227158e-4,7628,ist,0,50,45,0,0,5
47,male,0.004591463784966112,4.7057165121893384e-4,1.3209821757780158e-5,5.366343399227158e-4,7628,ist,0,50,45,0,0,5
48,male,0.004591463784966112,4.7057165121893384e-4,1.3209821757780158e-5,5.366343399227158e-4,7628,ist,0,50,45,0,0,5
49,male,0.004591463784966112,4.7057165121893384e-4,1.3209821757780158e-5,5.366343399227158e-4,7628,ist,0,50,45,0,0,5
50,male,0.007616666632481274,8.972364730393937e-4,2.2351039799862353e-5,9.006354652422212e-4,7605,ist,0,50,50,0,0,5
51,male,0.007616666632481274,8.972364730393937e-4,2.2351039799862353e-5,9.006354652422212e-4,7605,ist,0,50,50,0,0,5
52,male,0.007616666632481274,8.972364730393937e-4,2.2351039799862353e-5,9.006354652422212e-4,7605,ist,0,50,50,0,0,5
53,male,0.007616666632481274,8.972364730393937e-4,2.2351039799862353e-5,9.006354652422212e-4,7605,ist,0,50,50,0,0,5
54,male,0.007616666632481274,8.972364730393937e-4,2.2351039799862353e-5,9.006354652422212e-4,7605,ist,0,50,50,0,0,5
55,male,0.012810947867878491,0.0015192580510740383,3.6327630686390455e-5,0.0015543156008168376,6479,ist,0,50,55,1,0,5
56,male,0.012810947867878491,0.0015192580510740383,3.6327630686390455e-5,0.0015543156008168376,6479,ist,0,50,55,1,0,5
57,male,0.012810947867878491,0.0015192580510740383,3.6327630686390455e-5,0.0015543156008168376,6479,ist,0,50,55,1,0,5
58,male,0.012810947867878491,0.0015192580510740383,3.6327630686390455e-5,0.0015543156008168376,6479,ist,0,50,55,1,0,5
59,male,0.012810947867878491,0.0015192580510740383,3.6327630686390455e-5,0.0015543156008168376,6479,ist,0,50,55,1,0,5
60,male,0.020359425211491138,0.0020383342385607035,9.365583151095511e-5,0.0024696437441005317,5560,ist,0,50,60,1,1,5
61,male,0.020359425211491138,0.0020383342385607035,9.365583151095511e-5,0.0024696437441005317,5560,ist,0,50,60,1,1,5
62,male,0.020359425211491138,0.0020383342385607035,9.365583151095511e-5,0.0024696437441005317,5560,ist,0,50,60,1,1,5
63,male,0.020359425211491138,0.0020383342385607035,9.365583151095511e-5,0.0024696437441005317,5560,ist,0,50,60,1,1,5
64,male,0.020359425211491138,0.0020383342385607035,9.365583151095511e-5,0.0024696437441005317,5560,ist,0,50,60,1,1,5
65,male,0.03023669933151469,0.0024554768159103808,1.749331269462219e-4,0.0036907511439476484,5418,ist,0,50,65,2,1,5
66,male,0.03023669933151469,0.0024554768159103808,1.749331269462219e-4,0.0036907511439476484,5418,ist,0,50,65,2,1,5
67,male,0.03023669933151469,0.0024554768159103808,1.749331269462219e-4,0.0036907511439476484,5418,ist,0,50,65,2,1,5
68,male,0.03023669933151469,0.0024554768159103808,1.749331269462219e-4,0.0036907511439476484,5418,ist,0,50,65,2,1,5
69,male,0.03023669933151469,0.0024554768159103808,1.749331269462219e-4,0.0036907511439476484,5418,ist,0,50,65,2,1,5
70,male,0.04233961386300248,0.003026064039172742,4.2753366299251485e-4,0.005882698647602227,4800,ist,0,50,70,2,2,5
71,male,0.04233961386300248,0.003026064039172742,4.2753366299251485e-4,0.005882698647602227,4800,ist,0,50,70,2,2,5
72,male,0.04233961386300248,0.003026064039172742,4.2753366299251485e-4,0.005882698647602227,4800,ist,0,50,70,2,2,5
73,male,0.04233961386300248,0.003026064039172742,4.2753366299251485e-4,0.005882698647602227,4800,ist,0,50,70,2,2,5
74,male,0.04233961386300248,0.003026064039172742,4.2753366299251485e-4,0.005882698647602227,4800,ist,0,50,70,2,2,5
75,male,0.05653980855206656,0.003743936166704231,9.503323143582069e-4,0.008752069809823924,3332,ist,0,50,75,3,3,5
76,male,0.05653980855206656,0.003743936166704231,9.503323143582069e-4,0.008752069809823924,3332,ist,0,50,75,3,3,5
77,male,0.05653980855206656,0.003743936166704231,9.503323143582069e-4,0.008752069809823924,3332,ist,0,50,75,3,3,5
78,male,0.05653980855206656,0.003743936166704231,9.503323143582069e-4,0.008752069809823924,3332,ist,0,50,75,3,3,5
79,male,0.05653980855206656,0.003743936166704231,9.503323143582069e-4,0.008752069809823924,3332,ist,0,50,75,3,3,5
80,male,0.07222684983590236,0.005676538271011824,0.002766854790276608,0.012333237157554175,2291,ist,0,20,80,1,6,5
81,male,0.07222684983590236,0.005676538271011824,0.002766854790276608,0.012333237157554175,2291,ist,0,20,80,1,6,5
82,male,0.07222684983590236,0.005676538271011824,0.002766854790276608,0.012333237157554175,2291,ist,0,20,80,1,6,5
83,male,0.07222684983590236,0.005676538271011824,0.002766854790276608,0.012333237157554175,2291,ist,0,20,80,1,6,5
84,male,0.07222684983590236,0.005676538271011824,0.002766854790276608,0.012333237157554175,2291,ist,0,20,80,1,6,5
85,male,0.08790165302566179,0.008825222879065352,0.006735939024902127,0.015850257725655105,1276,ist,0,20,85,2,9,5
86,male,0.08790165302566179,0.008825222879065352,0.006735939024902127,0.015850257725655105,1276,ist,0,20,85,2,9,5
87,male,0.08790165302566179,0.008825222879065352,0.006735939024902127,0.015850257725655105,1276,ist,0,20,85,2,9,5
88,male,0.08790165302566179,0.008825222879065352,0.006735939024902127,0.015850257725655105,1276,ist,0,20,85,2,9,5
89,male,0.08790165302566179,0.008825222879065352,0.006735939024902127,0.015850257725655105,1276,ist,0,20,85,2,9,5
90,male,0.10012227934397316,0.011983042488563264,0.011461806965137565,0.018835544940140506,506,ist,0,10,90,1,6,5
91,male,0.10012227934397316,0.011983042488563264,0.011461806965137565,0.018835544940140506,506,ist,0,10,90,1,6,5
92,male,0.10012227934397316,0.011983042488563264,0.011461806965137565,0.018835544940140506,506,ist,0,10,90,1,6,5
93,male,0.10012227934397316,0.011983042488563264,0.011461806965137565,0.018835544940140506,506,ist,0,10,90,1,6,5
94,male,0.10012227934397316,0.011983042488563264,0.011461806965137565,0.018835544940140506,506,ist,0,10,90,1,6,5
95,male,0.10730820862297191,0.015152273484351773,0.02065299752423531,0.02138135685932541,91,ist,0,10,95,1,2,6
96,male,0.10730820862297191,0.015152273484351773,0.02065299752423531,0.02138135685932541,91,ist,0,10,95,1,2,6
97,male,0.10730820862297191,0.015152273484351773,0.02065299752423531,0.02138135685932541,91,ist,0,10,95,1,2,6
98,male,0.10730820862297191,0.015152273484351773,0.02065299752423531,0.02138135685932541,91,ist,0,10,95,1,2,6
99,male,0.10730820862297191,0.015152273484351773,0.02065299752423531,0.02138135685932541,91,ist,0,10,95,1,2,6
100,male,0.10730820862297191,0.015152273484351773,0.02065299752423531,0.02138135685932541,91,ist,0,10,95,1,2,6
