age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_crc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
34,female,3.4005082360693786e-4,4.744159388922366e-5,7.804051582502852e-6,3.176940003634762e-5,7963,crc,0,50,30,0,0,5
35,female,6.440333458866296e-4,8.944540854462492e-5,1.6006952225702235e-5,5.6936104882897735e-5,7482,crc,0,50,35,0,0,5
36,female,6.440333458866296e-4,8.944540854462492e-5,1.6006952225702235e-5,5.6936104882897735e-5,7482,crc,0,50,35,0,0,5
37,female,6.440333458866296e-4,8.944540854462492e-5,1.6006952225702235e-5,5.6936104882897735e-5,7482,crc,0,50,35,0,0,5
38,female,6.440333458866296e-4,8.944540854462492e-5,1.6006952225702235e-5,5.6936104882897735e-5,7482,crc,0,50,35,0,0,5
39,female,6.440333458866296e-4,8.944540854462492e-5,1.6006952225702235e-5,5.6936104882897735e-5,7482,crc,0,50,35,0,0,5
40,female,0.0011086084618791956,1.5362032397821671e-4,2.8209051329309452e-5,9.563919328702537e-5,6901,crc,0,50,40,0,0,5
41,female,0.0011086084618791956,1.5362032397821671e-4,2.8209051329309452e-5,9.563919328702537e-5,6901,crc,0,50,40,0,0,5
42,female,0.0011086084618791956,1.5362032397821671e-4,2.8209051329309452e-5,9.563919328702537e-5,6901,crc,0,50,40,0,0,5
43,female,0.0011086084618791956,1.5362032397821671e-4,2.8209051329309452e-5,9.563919328702537e-5,6901,crc,0,50,40,0,0,5
44,female,0.0011086084618791956,1.5362032397821671e-4,2.8209051329309452e-5,9.563919328702537e-5,6901,crc,0,50,40,0,0,5
45,female,0.0018060507041114903,2.569115214106014e-4,5.89165704739658e-5,1.5369549400006882e-4,7531,crc,0,50,45,0,0,5
46,female,0.0018060507041114903,2.569115214106014e-4,5.89165704739658e-5,1.5369549400006882e-4,7531,crc,0,50,45,0,0,5
47,female,0.0018060507041114903,2.569115214106014e-4,5.89165704739658e-5,1.5369549400006882e-4,7531,crc,0,50,45,0,0,5
48,female,0.0018060507041114903,2.569115214106014e-4,5.89165704739658e-5,1.5369549400006882e-4,7531,crc,0,50,45,0,0,5
49,female,0.0018060507041114903,2.569115214106014e-4,5.89165704739658e-5,1.5369549400006882e-4,7531,crc,0,50,45,0,0,5
50,female,0.0029831497272777337,4.264568967611611e-4,1.0247384547248573e-4,2.4697494025764335e-4,7629,crc,0,50,50,0,1,5
51,female,0.0029831497272777337,4.264568967611611e-4,1.0247384547248573e-4,2.4697494025764335e-4,7629,crc,0,50,50,0,1,5
52,female,0.0029831497272777337,4.264568967611611e-4,1.0247384547248573e-4,2.4697494025764335e-4,7629,crc,0,50,50,0,1,5
53,female,0.0029831497272777337,4.264568967611611e-4,1.0247384547248573e-4,2.4697494025764335e-4,7629,crc,0,50,50,0,1,5
54,female,0.0029831497272777337,4.264568967611611e-4,1.0247384547248573e-4,2.4697494025764335e-4,7629,crc,0,50,50,0,1,5
55,female,0.004655937796971269,6.738853257666043e-4,1.7069625063868843e-4,3.8533791045848386e-4,6580,crc,0,50,55,0,1,5
56,female,0.004655937796971269,6.738853257666043e-4,1.7069625063868843e-4,3.8533791045848386e-4,6580,crc,0,50,55,0,1,5
57,female,0.004655937796971269,6.738853257666043e-4,1.7069625063868843e-4,3.8533791045848386e-4,6580,crc,0,50,55,0,1,5
58,female,0.004655937796971269,6.738853257666043e-4,1.7069625063868843e-4,3.8533791045848386e-4,6580,crc,0,50,55,0,1,5
59,female,0.004655937796971269,6.738853257666043e-4,1.7069625063868843e-4,3.8533791045848386e-4,6580,crc,0,50,55,0,1,5
60,female,0.006896777988562812,0.0010219003723903526,2.8098408941376667e-4,5.723716843146926e-4,5725,crc,0,50,60,0,2,5
61,female,0.006896777988562812,0.0010219003723903526,2.8098408941376667e-4,5.723716843146926e-4,5725,crc,0,50,60,0,2,5
62,female,0.006896777988562812,0.0010219003723903526,2.8098408941376667e-4,5.723716843146926e-4,5725,crc,0,50,60,0,2,5
63,female,0.006896777988562812,0.0010219003723903526,2.8098408941376667e-4,5.723716843146926e-4,5725,crc,0,50,60,0,2,5
64,female,0.006896777988562812,0.0010219003723903526,2.8098408941376667e-4,5.723716843146926e-4,5725,crc,0,50,60,0,2,5
65,female,0.010430718212652179,0.0015717920082156127,4.4492433820993816e-4,8.688122880659574e-4,5670,crc,0,50,65,1,3,5
66,female,0.010430718212652179,0.0015717920082156127,4.4492433820993816e-4,8.688122880659574e-4,5670,crc,0,50,65,1,3,5
67,female,0.010430718212652179,0.0015717920082156127,4.4492433820993816e-4,8.688122880659574e-4,5670,crc,0,50,65,1,3,5
68,female,0.010430718212652179,0.0015717920082156127,4.4492433820993816e-4,8.688122880659574e-4,5670,crc,0,50,65,1,3,5
69,female,0.010430718212652179,0.0015717920082156127,4.4492433820993816e-4,8.688122880659574e-4,5670,crc,0,50,65,1,3,5
70,female,0.013569816396256977,0.002132019032269911,6.720885267173832e-4,0.0011532622146382086,5104,crc,0,50,70,1,3,5
71,female,0.013569816396256977,0.002132019032269911,6.720885267173832e-4,0.0011532622146382086,5104,crc,0,50,70,1,3,5
72,female,0.013569816396256977,0.002132019032269911,6.720885267173832e-4,0.0011532622146382086,5104,crc,0,50,70,1,3,5
73,female,0.013569816396256977,0.002132019032269911,6.720885267173832e-4,0.0011532622146382086,5104,crc,0,50,70,1,3,5
74,female,0.013569816396256977,0.002132019032269911,6.720885267173832e-4,0.0011532622146382086,5104,crc,0,50,70,1,3,5
75,female,0.018194253889949115,0.0030747248897543523,0.0010985278204304208,0.0016106190560256745,3792,crc,0,50,75,1,4,5
76,female,0.018194253889949115,0.0030747248897543523,0.0010985278204304208,0.0016106190560256745,3792,crc,0,50,75,1,4,5
77,female,0.018194253889949115,0.0030747248897543523,0.0010985278204304208,0.0016106190560256745,3792,crc,0,50,75,1,4,5
78,female,0.018194253889949115,0.0030747248897543523,0.0010985278204304208,0.0016106190560256745,3792,crc,0,50,75,1,4,5
79,female,0.018194253889949115,0.0030747248897543523,0.0010985278204304208,0.0016106190560256745,3792,crc,0,50,75,1,4,5
80,female,0.01720593514235851,0.0036773288016686634,0.0018675882167333727,0.0017088367955438778,2983,crc,0,20,80,0,6,5
81,female,0.01720593514235851,0.0036773288016686634,0.0018675882167333727,0.0017088367955438778,2983,crc,0,20,80,0,6,5
82,female,0.01720593514235851,0.0036773288016686634,0.0018675882167333727,0.0017088367955438778,2983,crc,0,20,80,0,6,5
83,female,0.01720593514235851,0.0036773288016686634,0.0018675882167333727,0.0017088367955438778,2983,crc,0,20,80,0,6,5
84,female,0.01720593514235851,0.0036773288016686634,0.0018675882167333727,0.0017088367955438778,2983,crc,0,20,80,0,6,5
85,female,0.024777368857246962,0.006159344091055332,0.003127617208997537,0.00271996116618788,2001,crc,0,20,85,0,6,5
86,female,0.024777368857246962,0.006159344091055332,0.003127617208997537,0.00271996116618788,2001,crc,0,20,85,0,6,5
87,female,0.024777368857246962,0.006159344091055332,0.003127617208997537,0.00271996116618788,2001,crc,0,20,85,0,6,5
88,female,0.024777368857246962,0.006159344091055332,0.003127617208997537,0.00271996116618788,2001,crc,0,20,85,0,6,5
89,female,0.024777368857246962,0.006159344091055332,0.003127617208997537,0.00271996116618788,2001,crc,0,20,85,0,6,5
90,female,0.028034288695230253,0.008636148188329975,0.004392909953737269,0.0035242021852825898,1019,crc,0,10,90,0,4,5
91,female,0.028034288695230253,0.008636148188329975,0.004392909953737269,0.0035242021852825898,1019,crc,0,10,90,0,4,5
92,female,0.028034288695230253,0.008636148188329975,0.004392909953737269,0.0035242021852825898,1019,crc,0,10,90,0,4,5
93,female,0.028034288695230253,0.008636148188329975,0.004392909953737269,0.0035242021852825898,1019,crc,0,10,90,0,4,5
94,female,0.028034288695230253,0.008636148188329975,0.004392909953737269,0.0035242021852825898,1019,crc,0,10,90,0,4,5
95,female,0.012256307166716697,0.01146237395427829,0.0058388114748148985,0.0027393566945231335,275,crc,0,10,95,0,2,6
96,female,0.012256307166716697,0.01146237395427829,0.0058388114748148985,0.0027393566945231335,275,crc,0,10,95,0,2,6
97,female,0.012256307166716697,0.01146237395427829,0.0058388114748148985,0.0027393566945231335,275,crc,0,10,95,0,2,6
98,female,0.012256307166716697,0.01146237395427829,0.0058388114748148985,0.0027393566945231335,275,crc,0,10,95,0,2,6
99,female,0.012256307166716697,0.01146237395427829,0.0058388114748148985,0.0027393566945231335,275,crc,0,10,95,0,2,6
100,female,0.012256307166716697,0.01146237395427829,0.0058388114748148985,0.0027393566945231335,275,crc,0,10,95,0,2,6
