age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_crc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,crc,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,crc,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,crc,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,crc,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,crc,0,10,0,0,0,5
5,female,0,1e-8,0,0,6603,crc,0,10,5,0,0,5
6,female,0,1e-8,0,0,6603,crc,0,10,5,0,0,5
7,female,0,1e-8,0,0,6603,crc,0,10,5,0,0,5
8,female,0,1e-8,0,0,6603,crc,0,10,5,0,0,5
9,female,0,1e-8,0,0,6603,crc,0,10,5,0,0,5
10,female,0,1e-8,0,0,6051,crc,0,50,10,0,0,5
11,female,0,1e-8,0,0,6051,crc,0,50,10,0,0,5
12,female,0,1e-8,0,0,6051,crc,0,50,10,0,0,5
13,female,0,1e-8,0,0,6051,crc,0,50,10,0,0,5
14,female,0,1e-8,0,0,6051,crc,0,50,10,0,0,5
15,female,1.3451637610246218e-5,1.8997671729536627e-6,3.472639845560657e-7,1.4880815158318399e-6,6338,crc,0,50,15,0,0,5
16,female,1.3451637610246218e-5,1.8997671729536627e-6,3.472639845560657e-7,1.4880815158318399e-6,6338,crc,0,50,15,0,0,5
17,female,1.3451637610246218e-5,1.8997671729536627e-6,3.472639845560657e-7,1.4880815158318399e-6,6338,crc,0,50,15,0,0,5
18,female,1.3451637610246218e-5,1.8997671729536627e-6,3.472639845560657e-7,1.4880815158318399e-6,6338,crc,0,50,15,0,0,5
19,female,1.3451637610246218e-5,1.8997671729536627e-6,3.472639845560657e-7,1.4880815158318399e-6,6338,crc,0,50,15,0,0,5
20,female,5.4805440587339644e-5,7.596502790404717e-6,1.1804383912863905e-6,5.815655085269898e-6,7828,crc,0,50,20,0,0,5
21,female,5.4805440587339644e-5,7.596502790404717e-6,1.1804383912863905e-6,5.815655085269898e-6,7828,crc,0,50,20,0,0,5
22,female,5.4805440587339644e-5,7.596502790404717e-6,1.1804383912863905e-6,5.815655085269898e-6,7828,crc,0,50,20,0,0,5
23,female,5.4805440587339644e-5,7.596502790404717e-6,1.1804383912863905e-6,5.815655085269898e-6,7828,crc,0,50,20,0,0,5
24,female,5.4805440587339644e-5,7.596502790404717e-6,1.1804383912863905e-6,5.815655085269898e-6,7828,crc,0,50,20,0,0,5
25,female,1.3524339179800553e-4,1.8868315340801343e-5,3.232319550193117e-6,1.3707736663798365e-5,8833,crc,0,50,25,0,0,5
26,female,1.3524339179800553e-4,1.8868315340801343e-5,3.232319550193117e-6,1.3707736663798365e-5,8833,crc,0,50,25,0,0,5
27,female,1.3524339179800553e-4,1.8868315340801343e-5,3.232319550193117e-6,1.3707736663798365e-5,8833,crc,0,50,25,0,0,5
28,female,1.3524339179800553e-4,1.8868315340801343e-5,3.232319550193117e-6,1.3707736663798365e-5,8833,crc,0,50,25,0,0,5
29,female,1.3524339179800553e-4,1.8868315340801343e-5,3.232319550193117e-6,1.3707736663798365e-5,8833,crc,0,50,25,0,0,5
30,female,3.4005082360693786e-4,4.744159388922366e-5,7.804051582502852e-6,3.176940003634762e-5,7963,crc,0,50,30,0,0,5
31,female,3.4005082360693786e-4,4.744159388922366e-5,7.804051582502852e-6,3.176940003634762e-5,7963,crc,0,50,30,0,0,5
32,female,3.4005082360693786e-4,4.744159388922366e-5,7.804051582502852e-6,3.176940003634762e-5,7963,crc,0,50,30,0,0,5
33,female,3.4005082360693786e-4,4.744159388922366e-5,7.804051582502852e-6,3.176940003634762e-5,7963,crc,0,50,30,0,0,5
