age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_ihd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
54,male,0.030892343650056102,0.003930588524492465,5.320173612759099e-4,7.945814526048737e-4,7605,ihd,0,50,50,2,4,5
55,male,0.05053130742870474,0.006370345426107117,8.144436069843987e-4,0.0012143954759327184,6479,ihd,0,50,55,3,5,5
56,male,0.05053130742870474,0.006370345426107117,8.144436069843987e-4,0.0012143954759327184,6479,ihd,0,50,55,3,5,5
57,male,0.05053130742870474,0.006370345426107117,8.144436069843987e-4,0.0012143954759327184,6479,ihd,0,50,55,3,5,5
58,male,0.05053130742870474,0.006370345426107117,8.144436069843987e-4,0.0012143954759327184,6479,ihd,0,50,55,3,5,5
59,male,0.05053130742870474,0.006370345426107117,8.144436069843987e-4,0.0012143954759327184,6479,ihd,0,50,55,3,5,5
60,male,0.07747604964392987,0.009678461255290123,0.0013838027022246592,0.0018477928610768004,5560,ihd,0,50,60,4,8,5
61,male,0.07747604964392987,0.009678461255290123,0.0013838027022246592,0.0018477928610768004,5560,ihd,0,50,60,4,8,5
62,male,0.07747604964392987,0.009678461255290123,0.0013838027022246592,0.0018477928610768004,5560,ihd,0,50,60,4,8,5
63,male,0.07747604964392987,0.009678461255290123,0.0013838027022246592,0.0018477928610768004,5560,ihd,0,50,60,4,8,5
64,male,0.07747604964392987,0.009678461255290123,0.0013838027022246592,0.0018477928610768004,5560,ihd,0,50,60,4,8,5
65,male,0.12090649654055262,0.013859582304171668,0.0020907846721775697,0.002798458790248018,5418,ihd,0,50,65,6,11,5
66,male,0.12090649654055262,0.013859582304171668,0.0020907846721775697,0.002798458790248018,5418,ihd,0,50,65,6,11,5
67,male,0.12090649654055262,0.013859582304171668,0.0020907846721775697,0.002798458790248018,5418,ihd,0,50,65,6,11,5
68,male,0.12090649654055262,0.013859582304171668,0.0020907846721775697,0.002798458790248018,5418,ihd,0,50,65,6,11,5
69,male,0.12090649654055262,0.013859582304171668,0.0020907846721775697,0.002798458790248018,5418,ihd,0,50,65,6,11,5
70,male,0.1648048329034845,0.019753017460708035,0.003371098578774655,0.0038738578572147016,4800,ihd,0,50,70,8,16,5
71,male,0.1648048329034845,0.019753017460708035,0.003371098578774655,0.0038738578572147016,4800,ihd,0,50,70,8,16,5
72,male,0.1648048329034845,0.019753017460708035,0.003371098578774655,0.0038738578572147016,4800,ihd,0,50,70,8,16,5
73,male,0.1648048329034845,0.019753017460708035,0.003371098578774655,0.0038738578572147016,4800,ihd,0,50,70,8,16,5
74,male,0.1648048329034845,0.019753017460708035,0.003371098578774655,0.0038738578572147016,4800,ihd,0,50,70,8,16,5
75,male,0.2125772920285759,0.02733815613017433,0.005701690285606097,0.0049088781639666495,3332,ihd,0,50,75,11,19,5
76,male,0.2125772920285759,0.02733815613017433,0.005701690285606097,0.0049088781639666495,3332,ihd,0,50,75,11,19,5
77,male,0.2125772920285759,0.02733815613017433,0.005701690285606097,0.0049088781639666495,3332,ihd,0,50,75,11,19,5
78,male,0.2125772920285759,0.02733815613017433,0.005701690285606097,0.0049088781639666495,3332,ihd,0,50,75,11,19,5
79,male,0.2125772920285759,0.02733815613017433,0.005701690285606097,0.0049088781639666495,3332,ihd,0,50,75,11,19,5
80,male,0.2476981861403255,0.03449379331124627,0.010783628180620178,0.005902305683833109,2291,ihd,0,20,80,5,25,5
81,male,0.2476981861403255,0.03449379331124627,0.010783628180620178,0.005902305683833109,2291,ihd,0,20,80,5,25,5
82,male,0.2476981861403255,0.03449379331124627,0.010783628180620178,0.005902305683833109,2291,ihd,0,20,80,5,25,5
83,male,0.2476981861403255,0.03449379331124627,0.010783628180620178,0.005902305683833109,2291,ihd,0,20,80,5,25,5
84,male,0.2476981861403255,0.03449379331124627,0.010783628180620178,0.005902305683833109,2291,ihd,0,20,80,5,25,5
85,male,0.25136012263557034,0.04121580605504854,0.021292497004752765,0.006330983603374521,1276,ihd,0,20,85,5,27,5
86,male,0.25136012263557034,0.04121580605504854,0.021292497004752765,0.006330983603374521,1276,ihd,0,20,85,5,27,5
87,male,0.25136012263557034,0.04121580605504854,0.021292497004752765,0.006330983603374521,1276,ihd,0,20,85,5,27,5
88,male,0.25136012263557034,0.04121580605504854,0.021292497004752765,0.006330983603374521,1276,ihd,0,20,85,5,27,5
89,male,0.25136012263557034,0.04121580605504854,0.021292497004752765,0.006330983603374521,1276,ihd,0,20,85,5,27,5
90,male,0.2091109678767953,0.04669047528936448,0.03465288016141709,0.005847847094473377,506,ihd,0,10,90,2,17,5
91,male,0.2091109678767953,0.04669047528936448,0.03465288016141709,0.005847847094473377,506,ihd,0,10,90,2,17,5
92,male,0.2091109678767953,0.04669047528936448,0.03465288016141709,0.005847847094473377,506,ihd,0,10,90,2,17,5
93,male,0.2091109678767953,0.04669047528936448,0.03465288016141709,0.005847847094473377,506,ihd,0,10,90,2,17,5
94,male,0.2091109678767953,0.04669047528936448,0.03465288016141709,0.005847847094473377,506,ihd,0,10,90,2,17,5
95,male,0.11664981257190415,0.05089393027372718,0.057572716614410685,0.004648225574071395,91,ihd,0,10,95,1,5,6
96,male,0.11664981257190415,0.05089393027372718,0.057572716614410685,0.004648225574071395,91,ihd,0,10,95,1,5,6
97,male,0.11664981257190415,0.05089393027372718,0.057572716614410685,0.004648225574071395,91,ihd,0,10,95,1,5,6
98,male,0.11664981257190415,0.05089393027372718,0.057572716614410685,0.004648225574071395,91,ihd,0,10,95,1,5,6
99,male,0.11664981257190415,0.05089393027372718,0.057572716614410685,0.004648225574071395,91,ihd,0,10,95,1,5,6
100,male,0.11664981257190415,0.05089393027372718,0.057572716614410685,0.004648225574071395,91,ihd,0,10,95,1,5,6
