age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_crc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,crc,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,crc,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,crc,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,crc,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,crc,0,10,0,0,0,5
5,male,0,1e-8,0,0,6917,crc,0,10,5,0,0,5
6,male,0,1e-8,0,0,6917,crc,0,10,5,0,0,5
7,male,0,1e-8,0,0,6917,crc,0,10,5,0,0,5
8,male,0,1e-8,0,0,6917,crc,0,10,5,0,0,5
9,male,0,1e-8,0,0,6917,crc,0,10,5,0,0,5
10,male,0,1e-8,0,0,6234,crc,0,50,10,0,0,5
11,male,0,1e-8,0,0,6234,crc,0,50,10,0,0,5
12,male,0,1e-8,0,0,6234,crc,0,50,10,0,0,5
13,male,0,1e-8,0,0,6234,crc,0,50,10,0,0,5
14,male,0,1e-8,0,0,6234,crc,0,50,10,0,0,5
15,male,1.1691156576221054e-5,1.641854514672466e-6,3.003270277271363e-7,1.2997368182683682e-6,6436,crc,0,50,15,0,0,5
16,male,1.1691156576221054e-5,1.641854514672466e-6,3.003270277271363e-7,1.2997368182683682e-6,6436,crc,0,50,15,0,0,5
17,male,1.1691156576221054e-5,1.641854514672466e-6,3.003270277271363e-7,1.2997368182683682e-6,6436,crc,0,50,15,0,0,5
18,male,1.1691156576221054e-5,1.641854514672466e-6,3.003270277271363e-7,1.2997368182683682e-6,6436,crc,0,50,15,0,0,5
19,male,1.1691156576221054e-5,1.641854514672466e-6,3.003270277271363e-7,1.2997368182683682e-6,6436,crc,0,50,15,0,0,5
20,male,5.40256116887079e-5,7.455532238926624e-6,1.1663652242615373e-6,5.770333865792813e-6,7845,crc,0,50,20,0,0,5
21,male,5.40256116887079e-5,7.455532238926624e-6,1.1663652242615373e-6,5.770333865792813e-6,7845,crc,0,50,20,0,0,5
22,male,5.40256116887079e-5,7.455532238926624e-6,1.1663652242615373e-6,5.770333865792813e-6,7845,crc,0,50,20,0,0,5
23,male,5.40256116887079e-5,7.455532238926624e-6,1.1663652242615373e-6,5.770333865792813e-6,7845,crc,0,50,20,0,0,5
24,male,5.40256116887079e-5,7.455532238926624e-6,1.1663652242615373e-6,5.770333865792813e-6,7845,crc,0,50,20,0,0,5
25,male,1.3934953425794565e-4,1.9372825657355037e-5,3.3134576231195695e-6,1.4274579259164668e-5,9023,crc,0,50,25,0,0,5
26,male,1.3934953425794565e-4,1.9372825657355037e-5,3.3134576231195695e-6,1.4274579259164668e-5,9023,crc,0,50,25,0,0,5
27,male,1.3934953425794565e-4,1.9372825657355037e-5,3.3134576231195695e-6,1.4274579259164668e-5,9023,crc,0,50,25,0,0,5
28,male,1.3934953425794565e-4,1.9372825657355037e-5,3.3134576231195695e-6,1.4274579259164668e-5,9023,crc,0,50,25,0,0,5
29,male,1.3934953425794565e-4,1.9372825657355037e-5,3.3134576231195695e-6,1.4274579259164668e-5,9023,crc,0,50,25,0,0,5
30,male,3.5858916308884205e-4,5.004898644512797e-5,8.245932964557269e-6,3.394951859065158e-5,8448,crc,0,50,30,0,0,5
31,male,3.5858916308884205e-4,5.004898644512797e-5,8.245932964557269e-6,3.394951859065158e-5,8448,crc,0,50,30,0,0,5
32,male,3.5858916308884205e-4,5.004898644512797e-5,8.245932964557269e-6,3.394951859065158e-5,8448,crc,0,50,30,0,0,5
