age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_crc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
33,male,3.5858916308884205e-4,5.004898644512797e-5,8.245932964557269e-6,3.394951859065158e-5,8448,crc,0,50,30,0,0,5
34,male,3.5858916308884205e-4,5.004898644512797e-5,8.245932964557269e-6,3.394951859065158e-5,8448,crc,0,50,30,0,0,5
35,male,6.146038208229383e-4,8.517407698634771e-5,1.517408991500315e-5,5.591501519750538e-5,7997,crc,0,50,35,0,0,5
36,male,6.146038208229383e-4,8.517407698634771e-5,1.517408991500315e-5,5.591501519750538e-5,7997,crc,0,50,35,0,0,5
37,male,6.146038208229383e-4,8.517407698634771e-5,1.517408991500315e-5,5.591501519750538e-5,7997,crc,0,50,35,0,0,5
38,male,6.146038208229383e-4,8.517407698634771e-5,1.517408991500315e-5,5.591501519750538e-5,7997,crc,0,50,35,0,0,5
39,male,6.146038208229383e-4,8.517407698634771e-5,1.517408991500315e-5,5.591501519750538e-5,7997,crc,0,50,35,0,0,5
40,male,0.0013560422527488986,1.8864537808538717e-4,3.4772855709129076e-5,1.1975169039817094e-4,7179,crc,0,50,40,0,0,5
41,male,0.0013560422527488986,1.8864537808538717e-4,3.4772855709129076e-5,1.1975169039817094e-4,7179,crc,0,50,40,0,0,5
42,male,0.0013560422527488986,1.8864537808538717e-4,3.4772855709129076e-5,1.1975169039817094e-4,7179,crc,0,50,40,0,0,5
43,male,0.0013560422527488986,1.8864537808538717e-4,3.4772855709129076e-5,1.1975169039817094e-4,7179,crc,0,50,40,0,0,5
44,male,0.0013560422527488986,1.8864537808538717e-4,3.4772855709129076e-5,1.1975169039817094e-4,7179,crc,0,50,40,0,0,5
45,male,0.0020061039937162837,2.87282705100273e-4,6.687085241343049e-5,1.7502384397132982e-4,7628,crc,0,50,45,0,1,5
46,male,0.0020061039937162837,2.87282705100273e-4,6.687085241343049e-5,1.7502384397132982e-4,7628,crc,0,50,45,0,1,5
47,male,0.0020061039937162837,2.87282705100273e-4,6.687085241343049e-5,1.7502384397132982e-4,7628,crc,0,50,45,0,1,5
48,male,0.0020061039937162837,2.87282705100273e-4,6.687085241343049e-5,1.7502384397132982e-4,7628,crc,0,50,45,0,1,5
49,male,0.0020061039937162837,2.87282705100273e-4,6.687085241343049e-5,1.7502384397132982e-4,7628,crc,0,50,45,0,1,5
50,male,0.0036892815851416834,5.30573808626593e-4,1.2728029817988336e-4,3.0970187384088643e-4,7605,crc,0,50,50,0,1,5
51,male,0.0036892815851416834,5.30573808626593e-4,1.2728029817988336e-4,3.0970187384088643e-4,7605,crc,0,50,50,0,1,5
52,male,0.0036892815851416834,5.30573808626593e-4,1.2728029817988336e-4,3.0970187384088643e-4,7605,crc,0,50,50,0,1,5
53,male,0.0036892815851416834,5.30573808626593e-4,1.2728029817988336e-4,3.0970187384088643e-4,7605,crc,0,50,50,0,1,5
54,male,0.0036892815851416834,5.30573808626593e-4,1.2728029817988336e-4,3.0970187384088643e-4,7605,crc,0,50,50,0,1,5
55,male,0.005962863853868438,8.713548189701482e-4,2.2223988469659858e-4,5.027576180261221e-4,6479,crc,0,50,55,0,1,5
56,male,0.005962863853868438,8.713548189701482e-4,2.2223988469659858e-4,5.027576180261221e-4,6479,crc,0,50,55,0,1,5
57,male,0.005962863853868438,8.713548189701482e-4,2.2223988469659858e-4,5.027576180261221e-4,6479,crc,0,50,55,0,1,5
58,male,0.005962863853868438,8.713548189701482e-4,2.2223988469659858e-4,5.027576180261221e-4,6479,crc,0,50,55,0,1,5
59,male,0.005962863853868438,8.713548189701482e-4,2.2223988469659858e-4,5.027576180261221e-4,6479,crc,0,50,55,0,1,5
60,male,0.010168296908420478,0.0015251400658792074,4.1938088276130287e-4,8.607424355582266e-4,5560,crc,0,50,60,1,2,5
61,male,0.010168296908420478,0.0015251400658792074,4.1938088276130287e-4,8.607424355582266e-4,5560,crc,0,50,60,1,2,5
62,male,0.010168296908420478,0.0015251400658792074,4.1938088276130287e-4,8.607424355582266e-4,5560,crc,0,50,60,1,2,5
63,male,0.010168296908420478,0.0015251400658792074,4.1938088276130287e-4,8.607424355582266e-4,5560,crc,0,50,60,1,2,5
64,male,0.010168296908420478,0.0015251400658792074,4.1938088276130287e-4,8.607424355582266e-4,5560,crc,0,50,60,1,2,5
65,male,0.014029801543597257,0.002142826970241496,6.168657971284527e-4,0.0011975782825411627,5418,crc,0,50,65,1,3,5
66,male,0.014029801543597257,0.002142826970241496,6.168657971284527e-4,0.0011975782825411627,5418,crc,0,50,65,1,3,5
67,male,0.014029801543597257,0.002142826970241496,6.168657971284527e-4,0.0011975782825411627,5418,crc,0,50,65,1,3,5
68,male,0.014029801543597257,0.002142826970241496,6.168657971284527e-4,0.0011975782825411627,5418,crc,0,50,65,1,3,5
69,male,0.014029801543597257,0.002142826970241496,6.168657971284527e-4,0.0011975782825411627,5418,crc,0,50,65,1,3,5
70,male,0.018022792615861646,0.0028780278825467497,9.226869085258271e-4,0.0015574650856686014,4800,crc,0,50,70,1,4,5
71,male,0.018022792615861646,0.0028780278825467497,9.226869085258271e-4,0.0015574650856686014,4800,crc,0,50,70,1,4,5
72,male,0.018022792615861646,0.0028780278825467497,9.226869085258271e-4,0.0015574650856686014,4800,crc,0,50,70,1,4,5
73,male,0.018022792615861646,0.0028780278825467497,9.226869085258271e-4,0.0015574650856686014,4800,crc,0,50,70,1,4,5
74,male,0.018022792615861646,0.0028780278825467497,9.226869085258271e-4,0.0015574650856686014,4800,crc,0,50,70,1,4,5
75,male,0.02364489875196224,0.0040701137958713855,0.00147601533947533,0.0021524167977543186,3332,crc,0,50,75,1,5,5
76,male,0.02364489875196224,0.0040701137958713855,0.00147601533947533,0.0021524167977543186,3332,crc,0,50,75,1,5,5
77,male,0.02364489875196224,0.0040701137958713855,0.00147601533947533,0.0021524167977543186,3332,crc,0,50,75,1,5,5
78,male,0.02364489875196224,0.0040701137958713855,0.00147601533947533,0.0021524167977543186,3332,crc,0,50,75,1,5,5
79,male,0.02364489875196224,0.0040701137958713855,0.00147601533947533,0.0021524167977543186,3332,crc,0,50,75,1,5,5
80,male,0.021846687010126604,0.004709202095864335,0.002356261793945806,0.0022364160591548435,2291,crc,0,20,80,0,5,5
81,male,0.021846687010126604,0.004709202095864335,0.002356261793945806,0.0022364160591548435,2291,crc,0,20,80,0,5,5
82,male,0.021846687010126604,0.004709202095864335,0.002356261793945806,0.0022364160591548435,2291,crc,0,20,80,0,5,5
83,male,0.021846687010126604,0.004709202095864335,0.002356261793945806,0.0022364160591548435,2291,crc,0,20,80,0,5,5
84,male,0.021846687010126604,0.004709202095864335,0.002356261793945806,0.0022364160591548435,2291,crc,0,20,80,0,5,5
85,male,0.03106704807135483,0.007969902970548977,0.003986088385389813,0.0035621426782022503,1276,crc,0,20,85,1,5,5
86,male,0.03106704807135483,0.007969902970548977,0.003986088385389813,0.0035621426782022503,1276,crc,0,20,85,1,5,5
87,male,0.03106704807135483,0.007969902970548977,0.003986088385389813,0.0035621426782022503,1276,crc,0,20,85,1,5,5
88,male,0.03106704807135483,0.007969902970548977,0.003986088385389813,0.0035621426782022503,1276,crc,0,20,85,1,5,5
89,male,0.03106704807135483,0.007969902970548977,0.003986088385389813,0.0035621426782022503,1276,crc,0,20,85,1,5,5
90,male,0.03250154990555509,0.010261505864689697,0.005126941417950651,0.004241723555233007,506,crc,0,10,90,0,3,5
91,male,0.03250154990555509,0.010261505864689697,0.005126941417950651,0.004241723555233007,506,crc,0,10,90,0,3,5
92,male,0.03250154990555509,0.010261505864689697,0.005126941417950651,0.004241723555233007,506,crc,0,10,90,0,3,5
93,male,0.03250154990555509,0.010261505864689697,0.005126941417950651,0.004241723555233007,506,crc,0,10,90,0,3,5
94,male,0.03250154990555509,0.010261505864689697,0.005126941417950651,0.004241723555233007,506,crc,0,10,90,0,3,5
95,male,0.015517931136625359,0.012319560082458658,0.0061558997195248185,0.0031401349797457677,91,crc,0,10,95,0,1,6
96,male,0.015517931136625359,0.012319560082458658,0.0061558997195248185,0.0031401349797457677,91,crc,0,10,95,0,1,6
97,male,0.015517931136625359,0.012319560082458658,0.0061558997195248185,0.0031401349797457677,91,crc,0,10,95,0,1,6
98,male,0.015517931136625359,0.012319560082458658,0.0061558997195248185,0.0031401349797457677,91,crc,0,10,95,0,1,6
99,male,0.015517931136625359,0.012319560082458658,0.0061558997195248185,0.0031401349797457677,91,crc,0,10,95,0,1,6
100,male,0.015517931136625359,0.012319560082458658,0.0061558997195248185,0.0031401349797457677,91,crc,0,10,95,0,1,6
