age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_bc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
63,male,2.449425234778739e-4,2.8193056266068308e-5,9.40642106319106e-6,2.289928273520958e-5,5560,bc,0,50,60,0,0,5
64,male,2.449425234778739e-4,2.8193056266068308e-5,9.40642106319106e-6,2.289928273520958e-5,5560,bc,0,50,60,0,0,5
65,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
66,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
67,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
68,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
69,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
70,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
71,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
72,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
73,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
74,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
75,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
76,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
77,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
78,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
79,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
80,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
81,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
82,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
83,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
84,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
85,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
86,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
87,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
88,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
89,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
90,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
91,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
92,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
93,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
94,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
95,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
96,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
97,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
98,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
99,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
100,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
