age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_adod,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
5,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
6,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
7,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
8,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
9,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
10,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
11,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
12,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
13,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
14,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
15,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
16,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
17,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
18,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
19,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
20,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
21,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
22,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
23,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
24,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
25,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
26,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
27,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
28,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
29,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
30,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
31,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
32,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
33,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
34,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
35,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
36,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
37,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
38,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
39,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
40,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
41,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
42,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
43,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
44,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
45,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
46,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
47,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
48,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
49,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
50,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
51,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
52,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
53,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
54,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
55,male,0.0024880484637982057,3.824251389301181e-4,3.2297121092008985e-5,3.02256749140722e-4,6479,adod,0,50,55,0,0,5
